Company Name,Job link,Title,Text
Larsen & Toubro Infotech Limited,https://www.indeed.co.in/rc/clk?jk=9ef5fc5a9d6b4437&fccid=42bfc5a97647daf5&vjs=3,AM Analytics,"""Experience Level – 2 to 4 years Responsibilities – As a part of the analytics team, you’ll be responsible for designing and developing production ready codes to implement features on Leni, an AI based virtual analyst. Your job will require the following - Gather requirements, understand data structures, develop and deploy algorithms Build models and algorithms to implement predictive modeling and statistical techniques Partner with NLP, engineering and business teams to implement Leni for clients Contribute in building and deploying new use cases on Leni A successful candidate will potentially have 2-4 years of experience in developing data led models and algorithms in BFSI, Healthcare, CPG retail, Manufacturing or e-commerce domain A bachelor’s degree in STEM discipline from Tier 1 colleges Hands-on experience in predictive modeling techniques like regression, classification, clustering, forecasting etc. Proficiency in R/Python/SQL for data processing, statistical techniques and machine learning Familiarities with data science and ML libraries like pandas, numpy, scikit-learn, etc. Familiarity with Spark/Pyspark A good understanding of SQL and no-SQL databases Familiarity in developing ETL logics and codes Strong analytical thinking and hands-on experience in problem solving Strong verbal and written communication skills It will also be good to have – A master’s degree (or equivalent) in business management, analytics or business intelligence A knowledge of technology infrastructure, specifically, big data technologies- Elastic Search/ Spark / H20 etc. Familiarity with platforms like google cloud, AWS, Azure etc. Hands-on experience on BI solutions like Tableau, Power BI, Qlik, ThoughtSpot, Answer Rocket, Looker etc. Expertise in machine learning, supervised and unsupervised: Forecasting, Classification, Data/Text Mining, NLP, Decision Trees, Adaptive Decision Algorithms, Random Forest, Search Algorithms, Neural Networks, Deep Learning Algorithms and Reinforcement Learning Experience in statistical learning: Predictive & Prescriptive Analytics, Web Analytics, Parametric and Non-parametric models, Regression, Time Series, Dynamic / Causal Model, Statistical Learning, Guided Decisions, Topic Modeling """
Fractal.ai,https://www.indeed.co.in/rc/clk?jk=f94c71a187fc3be5&fccid=adad512f93b8b92e&vjs=3,"Engagement Manager, Customer Analytics","About Fractal :
Fractal is one of the most prominent players in the Artificial Intelligence space. Fractal's mission is to power every human decision in the enterprise and uses the power of AI to help the world's most admired Fortune 500 companies. Fractal's products include Qure.ai to assist radiologists make better diagnostic decisions, Cuddle.ai to assists CEOs and senior executives make better tactical and strategic decisions, Theremin.ai to improve investment decisions and Eugenie.ai to find anomalies in high velocity data. Fractal has consistently been rated as India's best companies to work for, by The Great Place to Work® Institute. Fractal has been featured as a leader in the Customer Analytics Service Providers Wave™ 2019 by Forrester Research, and recognized as an ""Honorable Vendor"" in 2019 magic quadrant for data & analytics by Gartner.
Role Brief:
Leadership position responsible for providing best in class analytics delivery services. The individual will lead delivery and operations with clear responsibility of managing and helping grow revenues profitably. S/he should have a client service orientation with the ability to influence the client's decision-making process, improving the overall client engagement.
Job Responsibilities
As a delivery lead, grow revenues by identifying opportunities to scale existing projects, develop new solutions for the client, drive productivity improvements and efficiency to enhance gross margins.
Drive client-specific business planning, forecasting, budgeting, and measurements / Engage with clients to identify opportunities to institutionalize analytics across client organizations
Lead a team of highly motivated individuals and encourage to develop new capabilities through learning and development and knowledge sharing initiatives
Lead by example in analytics delivery and guides the team in data synthesis, modeling techniques and culling out actionable insights, implications, and recommendations to address client's business KPIs and /or identify opportunities
Ability to attract and retain high caliber talent for the organization and clearly communicate the vision, goals, and objectives of the organization and guide others in linking their activities to the success of the organization.
Work effectively with peer groups in sales & marketing, capability teams and enabling functions to drive higher value to add to clients. Participate in the sales process to scope client needs and consult the client to frame up solution and delivery approach.
Contribute to the development of the practice through collateral demonstrating thought leadership and develop scalable solutions to address business problems across the industry

The Person: Qualification & Experience
11 + years of experience in analytics delivery and business consulting with an emphasis on the Customer Analytics with at least 5+ years of leadership experience
Experience in design and review of new solution concepts and leading the delivery of high-impact analytics solutions and programs for global clients.
Knowledge of advanced analytics and machine learning techniques such as segmentation/clustering, recommendation engines, propensity models, and forecasting to drive growth throughout the customer lifecycle. Should be able to evaluate and bring in new advanced techniques to enhance the value-add for clients
Should be able to apply domain knowledge to functional areas like market size estimation, business growth strategy, impact of govt policies on product, strategic revenue management, marketing effectiveness
Must have excellent project/program management skills and have experience managing multiple work streams and projects at one time
Have business acumen to manage revenues profitably and meet financial goals consistently. Able to quantify business value for clients and create win-win commercial propositions.
Good thought leadership & ability to structure & solve business problems, innovating, where required
Outstanding presentation and communication skills (Oral and written) with the ability to inspire others to make informed decisions.
Must have the ability to adapt to changing business priorities in a fast-paced business environment

Education: Post graduate degree in a quantitative discipline from a reputed institute."
MasterCard,https://www.indeed.co.in/rc/clk?jk=4e7d79ad2f195b97&fccid=10b5c722d846df43&vjs=3,"Manager, Analytics & Metrics","GBSC is seeking a dynamic, high-performing and self-driven individual to assist in the development and execution of its Internal Audit data analytics, automation and visualization management program. The data analytics/automation/visualization management program will enable Mastercard to achieve its business goals of efficiency and effectiveness in managing Internal Audit. As a Manager of Data Analytics, you will:

Role

Assist the Data Analytics Director in assessing, developing and executing on the Internal Audit data analytics/automation/visualization management framework and develop and execute a strategy for continuous enhancement of the framework
Help drive performance of analytics solutions to impact overall business results
Lead multiple analytics projects and initiatives supporting Internal Audit
Assist in short-term and long-term prioritization of Internal Audit's overall analytical needs and opportunities
Coordinate with Internal Audit and other teams to identify new data-driven approaches for the purpose of generating business insights through data analytics, automation, data visualization, and addressing audit issues in a proactive manner
Create, validate and interpret reports and presentations for senior management, departmental leads, and relevant stakeholders
Facilitate joint brainstorming and team collaboration with broader Internal Audit group

All About You:

A minimum of a Bachelors degree (Masters a plus) in Data Science, Computer Science, Information Technology, Economics, Information Systems, Statistics, Applied Mathematics, Business Administration, or any other related field. An equivalent of this requirement in working experience is also acceptable for the position
A candidate for this position must have had at least 5 years of working experience in a data analyst or data warehousing position, preferably working as a Senior Data Analyst or equivalent in a fast-paced financial services environment. The candidate will also have had a proven and successful experience in the managing data analytics/automation/visualization initiatives, leading to the development of useful insights
The candidate will also demonstrate success leading a team as well as experience working with a wide range of data
Demonstrate skills in Oracle Financial, SQL server reporting services, Python, Tableau, Alteryx, analysis services, or any other data visualization tools. Working knowledge of ACL a plus
Familiarity with relevant Payment Card Industry and related regulations is a plus
Prior role within Big-4 Consulting or Internal Audit function covering data analytics / automation / visualization is desirable
Ability to multitask and manage team members on projects within a small-group environment
Excellent analytical, verbal and written communication skills
CISA, CISSP, CISM, or CPA license/certification preferred
Due to COVID-19, most of our employees are working from home. We’ve implemented a virtual hiring process and continue to interview candidates by phone or video and are onboarding new hires remotely. We value the safety of each member of our community because we know we’re all in this together.
Mastercard is an inclusive Equal Employment Opportunity employer that considers applicants without regard to gender, gender identity, sexual orientation, race, ethnicity, disabled or veteran status, or any other characteristic protected by law.
If you require accommodations or assistance to complete the online application process, please contact reasonable.accommodation@mastercard.com and identify the type of accommodation or assistance you are requesting. Do not include any medical or health information in this email. The Reasonable Accommodations team will respond to your email promptly."
"Marsh & McLennan Companies, Inc.",https://www.indeed.co.in/rc/clk?jk=10d489b1a12f1982&fccid=d46039b952140fd4&vjs=3,Assistant Manager - Senior Data Analytics & Insight Analyst,"Content And Publications Global Delivery (Career)
Content And Publications Global Delivery Operations (Career) is is seeking candidates for the following position based in the Noida office
Assistant Manager (Senior Data Analyst)
No. of Positions: 1
What can you expect?
The process is involved in creating products such as survey reports, dashboards, online calculators and insightful assets which are made available to fortune 1000 companies for benchmarking, compensation planning and defining company policies basis industries, regions and other factors. The person in this role needs to be strong in communication and data interpretation skills and should have the ability to analyze data to extract and present insights, trends, patterns which transforms into meaningful and relevant information for the clients.
What is in it for you?
Holidays (As Per the location)
Shared Transport (Provided the address falls in service zone)
We will count on you to:
Translate high level business requirements/problems into sound and comprehensive analytical framework through appropriate usage of advanced statistical / mathematical techniques and responsible for successful delivery of the analyses/deliverables “SME data peer review” for large, data heavy publications.
Analyze human resource problems using root-cause analysis, hypothesis generation, survey design, benchmarking, and other qualitative and quantitative methods.
Analyze and interpret data using Excel and SPSS and represent findings through charts and quality graphics.
Manage research content and maintain the accuracy and validity of the data.
Present research findings to research teams verbally and in writing.
Develop and update annual publications using existing processes and procedures.
Conduct significant amounts of secondary research and document those findings.
What you need to have:
Bachelor’s degree /Masters in IT.
6-10 Years of experience
Hands-on experience on Advance MS Excel, VBA and basic SPSS is mandatory
Knowledge of other BI tools such as Power Pivot, Tableau will be added advantage.
Exceptional written & verbal communication skills
Proficiency in Advanced Excel
Proficiency in MS Excel, SPSS and Survey Programming tools such as Survey Monkey, Key Survey or Qualtrics.
Experience in Survey Programming tools such as Survey Monkey, Key Survey or Qualtrics is preferred.
What makes you stand out?
Excellent Communication Skills both written & verbal
Quality monitoring
Logical review
Root cause analysis
Project coordination such as documentation, scoping and scheduling
Tools like Python, R, Power BI etc.
Statistical/Predictive modelling
About Mercer
At Mercer, we are a global force of around 25000+ unique individuals working together to make a difference in the lives of more than 115 million people every day by advancing their health, wealth
and careers.
We’re in the business of creating more secure and rewarding futures for our clients and their employees — For more than 80 years, we’ve turned our insights into actions; Be it designing affordable health plans, or assuring income for retirement, or aligning workers with workforce needs, we’ve been united in our mission of enabling people around the globe to live, work, and retire well."
"Cytel, India",https://www.indeed.co.in/rc/clk?jk=62fbdbb72d55505e&fccid=0ca0607c69909b05&vjs=3,2341 - Research Associate - Real World Analytics,"Cytel provides unrivaled biostatistics and operations research knowledge to our customers in the life sciences industries in the form of both software and services. At Cytel, we work hard to create successful careers with significant professional growth for our employees, as a result of which they work hard to make Cytel successful. Cytel is a place where talent, experience and integrity come together to advance the state of clinical development.

The incumbent will be responsible for contributing to targeted & systematic literature reviews including title and abstract screening, data extraction, and evidence synthesis. The role may be associated with a day-to-day project management and, under the guidance of a senior colleague, an own responsibility for client communication.

Skill & Competencies
Ability to analyze literature for clinical and epidemiological research. Understanding of HEOR preferred but not necessary.
Demonstrated ability to communicate and document information effectively in written/spoken English, including the ability to produce documents, reports, protocols, E-mails (using MS-Office PowerPoint, Word, Excel, Outlook) etc. which are appropriately adjusted to the characteristics and needs of the audience.
Developing project deliverables to (near) completion pending the final decision by our senior staff.
Strong organizational, time-management, prioritization and decision-making skills necessary to evaluate, plan and accomplish multiple work goals in a timely fashion.
Proactive and positive approach to tasks and projects, as well as resilience when encountering process, project, budget or client changes that are inherent to the consulting environment.

Qualifications:
Relevant degree (Pharmacy, Public Health, Epidemiology, Health Economics) - Master's preferred
1-3 years work experience in consulting environment
Demonstrated experience in literature reviews"
Accenture,https://www.indeed.co.in/rc/clk?jk=477333b7078011bd&fccid=a4e4e2eaf26690c9&vjs=3,CN - Strategy - MC - LS - Analytics - 11,"Job Description
About Accenture:
Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine unmatched experience and specialized capabilities across more than 40 industries - powered by the world's largest network of Advanced Technology and Intelligent Operations centers. With 513,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create lasting value across their enterprises. Visit us at www.accenture.com

About Capability Network:
If you are looking for a career with unparalleled global impact, then Accenture invites you to learn more about our rapidly expanding Capability Network. Over 2,000 management consulting and strategy professionals work in the Capability Network at Accenture. Based in a network of prominent locations, Capability Network professionals specialize in providing cutting-edge Industry and Functional expertise and leveraging the power of Accenture to bring measurable value to our clients worldwide.

Join the Capability Network and always have the backing of the established brand of Accenture to deliver large scale transformational change. Grow your career and experience a stimulating, fast-paced environment working with prestigious clients on diverse projects to solve significant business challenges. You will deliver lasting impact as you work as part of a highly specialized team, combining overseas client-site work with opportunities based locally, and contribute to high performance through continuous collaboration and knowledge sharing. For more information visit www.accenture.com/capabilitynetwork.

Capability Network Videos:
Video title External link
Accenture Capability Network https://www.youtube.com/watch?v=-92pvOH1d_k

Accenture in One Word https://www.youtube.com/watch?v=t1Fo8uNWZ-0

MBA Careers: What makes Accenture different https://www.youtube.com/watch?v=5bg4u5Sczm8


Practice Overview:
Life Sciences Team is one of the Industry Programs within Accenture’s Capability Network (CN) team, which sits under Accenture Strategy and Consulting. Our practitioners bring in right blend of strategic and operational experience and deep understanding of industry to help clients identify and address their greatest challenges in order to achieve maximum shareholder value. Our team works hand-in-hand with the world’s most successful Life Sciences companies to improve their performance across the entire Life Sciences value chain. We provide end-to-end business services as well as individual consulting, outsourcing and technology projects around the globe in all strategic and functional areas—with a strong focus on R&D, Sales & Marketing, and the Supply Chain.

Skill/Operating Group Life Sciences Analytics (Experienced in tools like Google Analytics, Tableau, R, SAS/ SQL, Qlik, PowerBI, Python) Level Analyst
Location Bangalore/ Gurgaon/Mumbai Travel Percentage Expected Travel could be anywhere between 0-100%

Qualifications
MBA from Tier-1 B-Schools or have rich experience in case not from Tier-1 B-School. In case the candidate doesn’t hold an MBA, postgraduate degree with rich experience of working in a Life Sciences analytics consulting will be a good fit as well. Management Consulting and General Business Consulting Experience is a must • Possesses good functional and domain knowledge and provides specialized inputs. Has relevant experience in the same area and / or has an educational background within the domain • Can solve a structured and defined problem in a functional area. Can break the problem into smaller modules and go into details and define each module • Supports a project in implementing and operationalizing a business or operating model within the offering or area of work • Provides Point of view, solution, data or input for an area or module in deck making, proposal or project where problem and scope of work is defined. Big picture and storyline of the larger engagement is shared • Has familiarity or expertise with assets / tools in business consulting, e.g. Issue Trees, Implementation frameworks, Diagnosis tools like client questionnaire and analysis, Operating Model, Business Process mapping, etc. • Given the functional depth, successfully delivers projects within the same Offering group Client Stakeholder and Project Management • Leads and manages a module / part of a project within a specific area or domain • Works on client site with minimal supervision in his / her area • Interacts with clients regularly and provides specialized inputs at a functional level • Works with multiple cross-functional stakeholders Communication • Has good written and verbal communication skills. Can articulate and share points well • Shares inputs in his / her area to support a deck • Make presentations wherever required to a known audience or client on functional aspects of his or her domain. Is part of the larger team which presents to the client Industry/ functional Skills • Industry Expertise: Preferably worked internationally in top pharmaceutical / medical devices / biotechnology industry or worked in an international context with clients from the above industry segments; • Should have 1-3 years of progressive business and/or consulting experience; at least 1 year of experience in Life Sciences Industry is mandatory • Should have experience in working around (any 3-5): ? Analytics consulting Projects ? Operating Model design ? Project Management ? Project Design and Implementation ? Business and Technical requirements gathering ? Insight generation • Should have experience with two or more Analytical tools (e.g. - Google Analytics, GTM, Tableau, R, SAS/ SQL, Qlik, PowerBI, Python), Life Sciences analytics experience is preferred Capability Skills Should have the following skills developed as part of experience in a strategy or consulting set up: • Strong Problem-Solving and Analytical Skills • Should have working knowledge of at least 2 of the following tools - Google Analytics, GTM, Tableau, R, SAS/ SQL, Qlik • Working knowledge of SFMC (Sales Force Marketing Cloud) or Adobe Exp Manager is a plus • Project Design and Implementation • Business and Technical requirements gathering • Project Management"
Hotstar,https://www.indeed.co.in/rc/clk?jk=c843e4a571bd9506&fccid=9f05c9752dd5c2ca&vjs=3,"Analytics Team Lead, Disney+ Hotstar","Disney+ Hotstar is leading the way as the largest and smartest video platform in the country, reaching over 300 million users today. We have set a number of world records along the way - including for the highest concurrent viewership at 25.3 million during the ICC Cricket World Cup 2019.
Disney+ Hotstar today is the one-stop destination for all your entertainment needs - from Live Sports, Indian and International Shows and Movies to all Disney content, including Pixar, Marvel, Star Wars, National Geographic and Disney+ Originals. We’re looking for the brightest minds to build the future of TV with us.

ABOUT THE TEAM

We serve high quality content to millions of customers across millions of devices, all of which are constantly evolving and changing. As Disney+ Hotstar increases its scale, we are looking to grow across teams.
We are looking for a dynamic Analytics lead, with proven track record of moving business metrics through data led actionable recommendations. This role will require very high cross-functional stakeholder management and regular management interactions. But most importantly, we are looking someone who is curious, and keen to unlearn & learn!

YOUR KEY RESPONSIBILITIES
Lead a team of 5-7 across growth and marketing Business Insights & analytics.
Co-own the business goals & lead data-led problem solving to find actionable insights.
Develop strong business intuition and develop hypothesis, test via data, conduct A/B analytics and help scale with product.
Work cross functionally and drive the team to move business metrics. Examples of what BI & Analytics is expected to deliver.
Analyze large sets of data to identify growth initiatives across the user funnel across both web and app – reach & targeting, acquisition, retention & engagement.
Generate databased insights that help to launch impactful and effective marketing and user acquisition & retention programs and campaigns.
Develop unsupervised/supervised models to create target segments for multiple marketing campaigns.
Develop predictive frameworks based on the customer life cycle to assist in user acquisition.
Develop an in-depth understanding of the customer journey and current trends to improve marketing initiatives.
Overall goal setting, process management & prioritization across work streams; working with broader Disney+ Hotstar stakeholders across product, marketing, growth & strategy.
Oversee the data-reporting infrastructure to support business analysis (Requirements gathering, ETL, top management reporting).
Work with product/ data engineering leaders to ensure robust & accurate data systems with right instrumentation & data delivery/ visualization tools.
Develop agile processes for fluid delivery of data, information, and analyses to the business
Create a strong organization & open up opportunities for professional growth of each team member.
WHAT TO BRING
Post Graduate degree or equivalent preferably in Business Administration/ Statistics/ Operational Research/ Mathematics.
6-8 years of professional experience; Currently leading the Business Intelligence/Data Analytics team, preferably for a digital business.
Strong business acumen & communication skills
Demonstrated experience in data modeling, predictive analysis, and expertise in R, SQL, Python.
Experience with Reporting/BI tools, data warehousing concepts and ETL development and tools. Familiar with digital analytics and clickstream data.
Experience with distributed analytic processing technologies is desired (e.g. Hive) preferably has experience with Mixpanel, Adobe analytics, appsflyer, localytics, appsalar etc.
OUR VALUES
AUDACITY
SELF-AWARENESS
OWNERSHIP
BIAS FOR ACTION
COLLABORATION
RADICAL CANDOUR
INCLUSIVITY
MENTORSHIP
THE PERKS
The glory. Almost too much responsibility.
No dress code. Unlimited leave. A fun-life balance.
A ticket on our rocket ship to the moon.
WHO WE ARE AS AN EMPLOYER
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, gender identity, disability, protected veteran status, or any other characteristic protected by law. We will consider for employment qualified applicants with criminal histories consistent with applicable law.

WHO WE ARE AS A COMPANY

Disney+ Hotstar is one of the fastest growing video-on-demand services. Scratch that. We’re Disney+ Hotstar. The go-to destination for over 300 million active users who seek anything from award-winning English shows and movies to regional content to live sports. Basically those that seek everything. Our mission is to revolutionize internet entertainment through smart personalization, and by building a global video platform that takes over the world wide web and the whole wide world.

#Non-tech"
Johnson & Johnson Family of Companies,https://www.indeed.co.in/rc/clk?jk=836042f16af5433f&fccid=0bed8e17bc113980&vjs=3,"Head - Talent Acquisition, India","Caring for the world, one person at a time has inspired and united the people of Johnson & Johnson for over 130 years. We embrace research and science - bringing creative ideas, products and services to advance the health and well-being of people. Every day, our more than 130,000 employees across the world are blending heart, science and ingenuity to profoundly change the trajectory of health for humanity.
At Johnson & Johnson, we’ve always excelled in times of change. We stand on the front lines of the biggest health challenges of our time, and we’re here to win. Our long history of firsts–Band-Aids, feminine care, cardiovascular stents, cancer treatments, digital health and, most recently, a life-changing vaccine against HIV–are proof that our proprietary blend of heart, science and ingenuity is profoundly changing the trajectory of health for humanity.
But those epic breakthroughs didn’t really come from Johnson & Johnson the company– they were discovered, developed and distributed by people just like YOU.
Job Description:
Johnson and Johnson is hiring for Head – Talent Acquisition, India based at Mumbai. In this role you will be responsible to set the strategic vision and lead our Talent Acquisition Model, that will provide J&J with a recruiting competitive advantage. You will build industry & business acumen and serve as a dedicated, strategic and trusted talent advisor to Business Leaders and Human Resource Business Partners. You will stay on top of trends and market changes and will be knowledgeable about the talent landscape. You will translate business and enterprise strategy to talent priorities by bringing deep expertise and market knowledge regularly. You will oversee an agile team of experienced Recruiters and Recruiting Managers in the end-to-end process of assessing and acquiring high caliber talent. You will maintain confidentiality and operate with poise and integrity in a complex and rapidly changing environment. You will drive organizational dedication and accountability to deliver operational excellence, talent focus and overall development of our people.
Key Responsibilities:
Lead an experienced team of Recruiters and Recruiting Managers to design and deliver recruitment initiatives, thereby enable acquisition of top talent to meet strategic objectives.
Identify talent needs, capability gaps to influence, current and future capability needs, workforce planning outcomes and any specific talent challenges - shape and drive effective recruiting strategies tailored to most critical talent needs for the country.
Partner as a talent advisor with internal teams by consistently using an open, consultative, employee and customer-focused mindset to ensure J&J’s ability to attract strong talent.
Develop and deliver Diversity Strategy for the country in partnership with key partners (Business/ HR Business Partners, Recruiters, Diversity & Inclusion, etc.).
Collaborate in a culture of agile thinking within Recruiting, driving a best-in-class candidate and hiring manager experience through a fast, adaptive, iterative recruiting approach, ensuring hyper-connectivity & transparency across multiple partner groups.
Build a strong Talent Sourcing Strategy that will ensure the Company is finding world-class talent. Collaborate with the Talent Intelligence to design and lead the implementation of talent identification strategies while ensuring alignment with business talent priorities.
Track and assess team performance using critical metrics and predictive analytics, while keeping an eye on emerging talent priorities and practice opportunities.

Qualifications
Education:
MBA or equivalent with minimum 10 years of work experience, in HR or related discipline.
Preferred: At least 3 years’ experience in delivering in a high-volume recruiting or talent sourcing capability.
A minimum of 2 years as a People Leader, leading and developing a team with a strong focus on team engagement and individual performance is strongly preferred.
Experience and Skills:
Experience in crafting solutions, strong communication and collaboration skills with internal and external partners
Strong business acumen - ability to translate business needs to recruiting strategies and actionable plan is required.
Experience in utilizing metrics regularly to build and deliver a high-performance culture
Ability to provide clear direction quickly and on-demand to work effectively in an agile environment

Are you ready to impact the world?
Johnson & Johnson offers unique and diverse experience to professionals looking for an opportunity to work with people who share real passion for caring, in an environment that empowers you to drive your own career.
We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Primary Location
India-Maharashtra-Greater Mumbai-
Organization
Johnson & Johnson Private Limited (8080)
Job Function
Human Resources
Requisition ID
2005846270W"
Genpact,https://www.indeed.co.in/rc/clk?jk=1a612383354c915b&fccid=afe30394bfba1470&vjs=3,Business Analyst- LSH Analytics,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Transformation happens here. Come, be a part of our exciting journey!
Inviting applications for the role of Business Analyst, LSH Analytics
We are looking for a Business Analyst who would be giving to client strategy by analyzing data, preparing reports, and identifying meaningful business insights; while also introducing process improvements and innovations at Genpact.
Are you the one we are looking for?
Role and Responsibilities:
Understand client requirements and their business objectives
Collect and supervise data to fulfill the objectives, with the help of social media and digital media tools
Manage data and time efficiently
Analyze and interpret data the collected
Develop PowerPoint reports that convert data into measurable insights for the clients
Write findings, conclusions and implications of the data
Ensure accuracy and attention to detail in all phases of the research project
Participate in team and client meetings (as needed)
Work closely with other team members to ensure a high-quality output
Drive and support Genpact’s transformation towards more automation, and analytics
Minimum qualifications
Graduate degree (any), followed by MBA
Excellent MS Office skills (Advanced Excel, PowerPoint, Word)
Knowledge about market research methodologies and techniques
Excellent business writing and communication skills
Knowledge about social and digital media
Strong analytical and critical thinking skills
Ability to generate insights and inferences from facts/data
Ability to analyze, prioritize and integrate a large amount of information into clear concise presentations
Behavioral / team skills
Personal drive and positive work ethic to deliver results in demanding situations
Flexibility to adapt to a variety of projects, in order to contribute with minimum ramp-up
Should be diligent and able to follow guidelines
Should be able to work well in a team
Should possess an eye for detail
Good to have: Understanding of the pharmaceutical and retail industry
Good to have: Prior experience in qualitative or quantitative market research
Good to have: Experience working with popular social media monitoring tools or management tools
Good to have: Experience in other visualization tools such as power BI
Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube.

JobBusiness Analyst
Primary LocationIndia-Bangalore
Education LevelBachelor's / Graduation / Equivalent
Job PostingSep 17, 2020, 5:14:24 AM
Unposting DateOngoing
Master Skills ListOperations
Job CategoryFull Time"
Ericsson,https://www.indeed.co.in/rc/clk?jk=a5e9158cd6c8af96&fccid=82656d64a9a3e6a7&vjs=3,Data Analytics Solutions Designer: Bangalore,"Date: Sep 16, 2020
As the tech firm that created the mobile world, and with more than 54,000 patents to our name, we’ve made it our business to make a mark. When joining our team at Ericsson you are empowered to learn, lead and perform at your best, shaping the future of technology. This is a place where you're welcomed as your own perfectly unique self, and celebrated for the skills, talent, and perspective you bring to the team. Are you in?
Come, and be where it begins.

Our Exciting Opportunity !
We are looking for experienced, result oriented ICT Architect, with phenomenal leadership and deep knowledge of Data warehousing, data architectures, cloud technologies. Requires driving and engaging in Technology activities across multiple programs within the Group Data Analytics and Ericsson.
As the ICT architect role requires the ability to lead and engage with multiple disciplines – Leads/FA architects, developers, technology specialists, Data scientists, SPMs, project managers, etc. Your technology leadership must be proven by at least five years in the position of Solution architect (or similar roles), senior developer, or senior technology specialist title or higher.
You will
Facilitate requirement analysis with Stakeholders for Data Collection, Analytics, & Machine Learning Requirements
Work with SPM to ensure understanding of business requirements in Data Management for the respective functional area
Identify and propose new opportunities for data services
Define characteristics for wanted scale, redundancy, distribution, protection, etc. criteria for various types of data services
Work with Developers and other FA Architects for multi-functional data requirements
Support with technical, lead scrum teams during development.
Define and design appropriate interfaces for data update, retrieval queries and recommended workflows based on specific data use case
Accountable for technical documents when needed, e.g. FA or solution level architecture descriptions, SOD (Solution Overview Document), Design Specs.
Ensure alignment to development guidelines and processes by development teams for respective solutions/portfolios.
Ownership of prototype activities and technology specialists anticipating features/services to evolve
Contributing to relevant study/PoC activities for backlog items - End2End responsible for the study results for initiatives driven for respective area, including value propositions
Engaging/Mentoring the development team
Engage in initiatives prioritized by Leadership for PoC/study or implementation relevant to the Data Management Area
Provide Technical mentorship/support and inputs to Platform teams for Capacity Management
Identifying the technology trends, ground-breaking trends that have potential impact on the portfolios responsible for as well as on the Group overall.
To be successful in the role you must have
Solid experience in Data Warehousing and BI, preferably using SAP HANA/BODS, Hadoop. Knowledge of enterprise architecture concepts and approaches. TOGAF certification desired, though not required.
Master data management technologies, mapping requirements into technical descriptions, being responsible for development and delivery of functions & solutions.
Good hands on prior experience as BI developer.
Knowledge in establishing methods and procedures for supervising data sources, data lineage, data quality, completeness, duplication vs. replication, data dictionary, data models, metadata and master data
Knowledge of database design principles and data administration standards, multiple database platforms and design and support tools, including hands-on experience with at least one database platform
Solid understanding of data governance frameworks
Forward-thinking and flexible. Deciding and initiating actions
Ability to work in a distributed and international organization
Delivering result & meet customer expectation. Presenting & Communicating Info
What´s in it for you?
Here at Ericsson, our culture is built on over a century of fearless decisions. With us, you will no longer be dreaming of what the future holds – you will be redefining it. You won’t develop for the status quo, but will build what replaces it. Joining us is a way to move your career in any direction you want; with hundreds of career opportunities in locations all over the world, place where co-creation and collaboration are embedded into the walls. You will find yourself in a speak-up environment where empathy and humanness serve as cornerstones for how we work, and where work-life balance is a priority. Welcome to an inclusive, global company where your opportunity to make an impact is endless.
What happens once you apply?
To prepare yourself for next steps, please explore here: https://www.ericsson.com/en/careers/job-opportunities/hiring-process

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.
Do you believe that an organization fostering an environment of cooperation and collaboration to execute with speed creates better business value? Do you value a culture of humanness, where fact based decisions are important and our people are encouraged to speak up? Do you believe that diverse, inclusive teams drive performance and innovation? At Ericsson, we do.
We provide equal employment opportunities without regard to race, color, gender, sexual orientation, transgender status, gender identity and/or expression, marital status, pregnancy, parental status, religion, political opinion, nationality, ethnic background, social origin, social status, Indigenous status, disability, age, union membership or employee representation and any other characteristic protected by local law or Ericsson’s Code of Business Ethics."
