Company Name,Job link,Title,Text
Eccentric Engine Private Limited,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0D5u0S2us3uI526mz8X2sZKLtmY-jeDZpIosSp6Igozax76J0MAl-8hlCPYZ7aEoG1vJSxXnrDZlUciDxxiHqD3-MLRTYokTmNH1tYgH7LISG3C4cXTLGbqYvkAK5kJ4zIpFmyWPczp_kOPOjcTPlJHEACxXaxSvJP-A_MGVtOAoWcVtV0Xa-e1UC2yIcCOmAzVaOXhKdebncNy0uXCSzU6XVqrpVVubx7_gFz9o9tlRjtmU9DmeVM63eIFOk83_HFRkX3GnTme1Zco3BouooTmg0Hqss8rzeF3h2_NzuscdDj1J7qmk-Cjb-as0Sm7GRBqcATnCnO9VzCpHJ1XAv16BLhFwK9tivbfx1DmJ4G8hQMJWvX-_IhInIxXNKkaJ0CPEToJIzSEOW1Tey-mLGX-rxK3pHaiM3v07xjZduLKLqzny80n0-sbyedsdunEjj0=&p=0&fvj=1&vjs=3,Data Analyst,"Essential Functions:
Understand and translate stakeholder requirements into performance metrics, reports and dashboards
Develop reports and structured presentations to present key messages to senior management
Engage with owners from each business unit to identify key causes behind data trends/irregularities
Identify process improvements to streamline data collection and report creation
Requirements:
Design, develop and implement databases, data collection systems, data analytics and other strategies to support the tactical, and strategic reporting and analytics needs.
Acquire data from primary or secondary data sources and maintain a database system
Develop and maintain scripts and queries to import, manipulate, clean, transform data from different sources
Design, evaluate and monitor key metrics, understanding root causes of changes in metrics
Conduct analysis using statistical software, databases, and spreadsheets
Locate and define new process improvement opportunities.
Strong oral and written communication skills, as well as strong documentation skills to describe existing metrics (processes) and propose changes to data process flow
Advanced knowledge of and experience with Business Intelligence (BI), analysis, and reporting tools such as - Microsoft Excel (advanced), SQL,Tableau etc.
Must have the aptitude and desire to learn new competencies and skills
Attention to detail and follow-through is essential
Ability to independently, resourcefully, and creatively research and implement new solutions
Qualification Required:
Education
BSc/Msc Stats, BSc/MSc Maths
Key Skills:
Management, data analysis, EXCEL, sql & strong communication, Presentation skills
Expected Start Date: 21/9/2020
Job Type: Full-time
Salary: ₹200,000.00 - ₹300,000.00 per year
Experience:
work: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Singularis Software Technologies,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Du-Bflp0zZvYwBw1ndrgFtjS9HEL4NuayBThFUpEW73nm5q6pNRsfCFlet4aNqVm4PbdJ33pij92f1tICXdfuooojfQiuayeybAS7qTCLnSMulvYzMv6Ym6bBPPPnFOKkG6HaEAgkDiKNhNC28G_4r4CEmDJx6r8oQzLM182SgvjzppM9JUOdKRUmrceaBQyx7TTrvzjwI7JRC8wgi7whb9rZD33-73EnjHqVD_24dEQyBOPYwoJAwsIQKJgBd7JrqOl_Bhp4LM9cwe1v98ec1ICm-JuRN4uPDAfFpTyc4CKVjgWw9WEwCH5RkOSSUEd64pjxpgHsk4fo_dIpvoENo7FCvB8CHmzBV3vvy7Vy-4ziu1jGJntQP1jxDgHulX16WKQ5UPbNReNSc0O7TFVgryoy67FROMTlEidcJ4EhfN-baW-o1bC6p8GKE5k9vEBn3RfF2zu5IyYWXR0b2y5zacgtNkN8RZBH1K4I6oKGJzg==&p=1&fvj=1&vjs=3,Data Scientist Hiring through Machine Learning Internship!!,"We are providing a paid Job Internship program for fresher candidates in Software programming of a duration of 3-6 months.After completing the internship, the candidate will be placed in our company.
Candidate have to pay the cost of edification for the internship
Required Experience, Skills and Qualifications
Experience : Freshers
Qualification : B.Tech / M.Tech ( CS,IT,ECE )MCA/BCA,Bsc/Msc ( Computer Science )
Platform/ Language: Java, Android, PHP,.Net,Embedded,Software Testing, Phython, Machine Learning/Deep Learning/AI.
Benefits
Candidates will get One year Experience Certificate with placement assistance.
After successful completion of the training candidate will have a chance to work with Live project of our company and gain knowledge and experience as developers.
Job Types: Full-time, Internship
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
Evolent Health,https://www.indeed.co.in/rc/clk?jk=e67bfa273b0be73e&fccid=3586973f5b1c82b8&vjs=3,Data Science- Intern,"Job title

Data Science- Intern

Work Location

Pune, MH, India

No of Positions

1

It’s Time For A Change…
Your Future Evolves Here
Evolent Health has a bold mission to change the health of the nation by changing the way health care is delivered. Our pursuit of this mission is the driving force that brings us to work each day. We believe in embracing new ideas, challenging ourselves and failing forward. We respect and celebrate individual talents and team wins. We have fun while working hard and Evolenteers often make a difference in everything from scrubs to jeans.
Are we growing? Absolutely—56.7% in year-over-year revenue growth in 2016. Are we recognized? Definitely. We have been named one of “Becker’s 150 Great Places to Work in Healthcare” in 2016 and 2017, and one of the “50 Great Places to Work” in 2017 by Washingtonian, and our CEO was number one on Glassdoor’s 2015 Highest-Rated CEOs for Small and Medium Companies. If you’re looking for a place where your work can be personally and professionally rewarding, don’t just join a company with a mission. Join a mission with a company behind it.

Position summary

Evolent is looking for a bright candidates to Join as Data Analyst Intern

Required:
Interested in building career path in Data Science and AI area
Bachelors/Masters’ Degree with a quantitative focus (e.g. mathematics, statistics, computer science or related programs preferred) from universities in top 3 tiers
Background with Data Analysis (statistical modelling, data analysis, python/R/
Good programming skills in either Python, Java , C++ , along with good understanding of data structures and algorithms

Good to Have:
Healthcare background
PhD related to computer science/statistics/engineering/math/physics data analysis field
Good to have Exposure to SQL and any one of the BI tools (Microstrategy, Tableau, PowerBI)

Academic Qualification
Bachelors/Masters’ Degree with a quantitative focus (e.g. mathematics, statistics, computer science or related programs preferred) from universities in the top 3 tiers"
ARDEM Data Services Private Limited,https://www.indeed.co.in/company/ARDEM-Data-Services-Private-Limited/jobs/Virtual-Data-Analyst-40a6ff6d8d6c380e?fccid=4dbe41dfcd4bf989&vjs=3,Virtual Data Analyst,"Job Description
Our brand is rapidly growing and it’s time to add to our production Team! We are looking for an enthusiastic Virtual Data Analyst who fits with our company culture and is excited to evaluate, manage, and maintain the quality of all of our projects!
ARDEM Data Services, part of a US-based global professional services company, is experiencing rapid growth and working for many notable large companies. We provide specialized “boutique” outsourcing and business automation solutions in the US and abroad. Our clients include fashion moguls, pop culture clients, and other household name brands! Companies come to us when they are looking for a true partner to help them grow for long term capacity. With every person we add to our production team- we are looking for them to help us provide our clients with the white-glove service they desire.
We are looking for graduate candidates who could work with us during the Night Shift, i.e., 12:00 AM to 09:00 AM, five days a week.
Work from Home Opportunity - Job Requirements:
Job Type: Either Full time (8 Hrs) or Part-time
Nature of Work: Data Processing of US Logistics invoices
Work Time: 12:00 AM to 09:00 AM (Monday to Friday)
Shift Time: Nightshift
Employment Type: Contractual
Graduates: B.Tech/B.Sc/B.Com/BBA
Postgraduates: M.Tech/M.Sc/M.Com/MBA
Communication: Excellent English Skills
Resources: PC/Laptop and Broadband connection.
Experience: Both Freshers and Experienced candidates can apply.
If you are looking for an exciting work from home opportunity then look no further as we are hiring processors and analysts to work from home!
Learn more at- https://ardem.com
Job Types: Full-time, Part-time
Salary: ₹144,000.00 - ₹180,000.00 per year
Experience:
total work: 2 years (Required)
Education:
Bachelor's (Required)
Location:
Lucknow, Uttar Pradesh (Preferred)
Language:
English (Required)
Shifts:
Night (Required)
Work Remotely:
Temporarily due to COVID-19"
ABB,https://www.indeed.co.in/rc/clk?jk=b28b6042d1cabbd8&fccid=38b4474838e7b7a1&vjs=3,Market Analyst,"Basic Info
Location
Bangalore, Karnataka, India
Job type
Full-Time
Contract
Regular/Permanent

Take the next step in your career at ABB, working in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.
ABB Global Industries and Services Private Limited (GISPL) is a company which has 5 functions to support ABB projects globally. We have 2000 employees as a part of this company serving in the areas of Research, Development, Engineering center and Regional ERP support center which contributes to ABB's 5 divisions globally. In 2015 the company name was registered as ABB Global Industries and Services Private Limited (GISPL).

ABB Industrial Automation is writing the future of safe and smart operations. With our deep industry knowledge and automation expertise, we understand the needs of our customers and enable them to lead through safer, more productive and energy efficient operations.

Reporting to the Business Development Manager and you will be performing market research, analysis business development and various account management duties to facilitate development and execution of marketing and sales strategies for existing and potential global accounts, solutions and channels.
Your responsibilities
Conducting thorough research of customers, competitors, industry segments and financials and provides necessary frameworks/plans to facilitate business decision making.
Tracking and forecasting trends and analyze in detail the data collected to provide management with thorough reports and results.
Preparing reports on findings while illustrating data with graphs and translating complex results into written texts that are clear and understandable.
Ensuring ABB’s value proposition for the target segment is developed and well communicated (internally and externally).
Conducting hands-on analysis of market research outputs to define strategies, uses, and opportunities for ABB businesses, business lines, solutions and channels with measurable benefits.
Managing internal stakeholders of ABB to facilitate and execute running of global account and solution management smoothly.
Analyzing competitor performance based on their financial parameters.
Living ABB’s core values of safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business.
Your background
MBA/B.E/B.Tech in Marketing or Finance from a reputed institution.
Required 3 to 6 years of hands-on experience in analytical and marketing skills.
Ability to collaborate in a complex matrix structured organization smoothly and in a timely manner.
Ability to communicate coherently and in a timely manner in a global community of account managers and business stakeholders.
Should support marketing and sales activities to drive IA and global account management ambitions.
Ability to find areas of potential business development in a turbulent macroeconomic environment.
More about us
Bring your very own sense of pride and purpose as you help us drive forward the Fourth Industrial Revolution – creating a sustainable future for our planet, and your career. Join ABB and harness the power of our diverse global network, as you collaborate with and learn from our world-class teams. Above all, challenge yourself every day. Let’s write the future, together.
Important, please include in your CV the following passage:
“I hereby agree for my personal data, included in my job application, to be processed in line with the needs of recruitment, in accordance with the Law on Personal Data Protection of 29th August 1997 (Law Gazette from 2002, No.101, heading 926, as amended).”
Reference Number
IN75923229_E1
Publication date
2020-09-17"
Research NXT,https://www.indeed.co.in/company/ResearchNXT/jobs/Senior-Research-Analyst-6d7186d07ae2c5aa?fccid=70b640a185f61c0d&vjs=3,Sr. Research Analyst,"Job Summary
Position: Sr. Research Analyst
Role & Responsibilities and Duties
Primary & Secondary Research
Survey and Interview Design and Execution
Data Modeling and Analysis
Report Writing
Project Management
Qualifications and Skills
*
Candidates with an MBA from a reputed institute
Fluency in written and verbal English
IT, Technology Industry Experience.
Prior experience of Report Writing and Project Execution
Benefits*
Fast Track program for high performing employees (appraisal in 09 months)
You would be working closely with Senior Management, with an opportunity to work on Research and Consulting assignments with Global MNC Clients.
Flexible timings & Work from home option available
Job Type: Full-time
COVID-19 considerations:
Considering the current pandemic we have restructured our process and policies to enable our team to work from home. We are encouraging a work from home culture and ensuring health and safety for all our employees.
Expected Start Date: 28/9/2020
Job Types: Full-time, Contract
Salary: ₹420,000.00 - ₹540,000.00 per year
Experience:
total work: 3 years (Required)
Education:
Master's (Required)
Work Remotely:
Yes"
"Marsh & McLennan Companies, Inc.",https://www.indeed.co.in/rc/clk?jk=10d489b1a12f1982&fccid=d46039b952140fd4&vjs=3,Assistant Manager - Senior Data Analytics & Insight Analyst,"Content And Publications Global Delivery (Career)
Content And Publications Global Delivery Operations (Career) is is seeking candidates for the following position based in the Noida office
Assistant Manager (Senior Data Analyst)
No. of Positions: 1
What can you expect?
The process is involved in creating products such as survey reports, dashboards, online calculators and insightful assets which are made available to fortune 1000 companies for benchmarking, compensation planning and defining company policies basis industries, regions and other factors. The person in this role needs to be strong in communication and data interpretation skills and should have the ability to analyze data to extract and present insights, trends, patterns which transforms into meaningful and relevant information for the clients.
What is in it for you?
Holidays (As Per the location)
Shared Transport (Provided the address falls in service zone)
We will count on you to:
Translate high level business requirements/problems into sound and comprehensive analytical framework through appropriate usage of advanced statistical / mathematical techniques and responsible for successful delivery of the analyses/deliverables “SME data peer review” for large, data heavy publications.
Analyze human resource problems using root-cause analysis, hypothesis generation, survey design, benchmarking, and other qualitative and quantitative methods.
Analyze and interpret data using Excel and SPSS and represent findings through charts and quality graphics.
Manage research content and maintain the accuracy and validity of the data.
Present research findings to research teams verbally and in writing.
Develop and update annual publications using existing processes and procedures.
Conduct significant amounts of secondary research and document those findings.
What you need to have:
Bachelor’s degree /Masters in IT.
6-10 Years of experience
Hands-on experience on Advance MS Excel, VBA and basic SPSS is mandatory
Knowledge of other BI tools such as Power Pivot, Tableau will be added advantage.
Exceptional written & verbal communication skills
Proficiency in Advanced Excel
Proficiency in MS Excel, SPSS and Survey Programming tools such as Survey Monkey, Key Survey or Qualtrics.
Experience in Survey Programming tools such as Survey Monkey, Key Survey or Qualtrics is preferred.
What makes you stand out?
Excellent Communication Skills both written & verbal
Quality monitoring
Logical review
Root cause analysis
Project coordination such as documentation, scoping and scheduling
Tools like Python, R, Power BI etc.
Statistical/Predictive modelling
About Mercer
At Mercer, we are a global force of around 25000+ unique individuals working together to make a difference in the lives of more than 115 million people every day by advancing their health, wealth
and careers.
We’re in the business of creating more secure and rewarding futures for our clients and their employees — For more than 80 years, we’ve turned our insights into actions; Be it designing affordable health plans, or assuring income for retirement, or aligning workers with workforce needs, we’ve been united in our mission of enabling people around the globe to live, work, and retire well."
Refinitiv,https://www.indeed.co.in/rc/clk?jk=6b5f37414b7fb03d&fccid=182a2609b8af918e&vjs=3,Content Analyst,"Fixed Income Content team is responsible for collection, maintenance, analysis and dissemination of high-quality information. The profile pertains to research and sourcing of entity level information, Terms & Conditions and Ratings data for fixed income securities from various sources and updating the same to a common database. Fixed Income group handles different bond asset classes like Eurobonds, Corporate Bonds, Treasury Auctions, Medium Term Notes, Agency bonds, Certificate of Deposits etc. This also includes maintenance of dynamic and scheduled information on the database which supports data across Refinitiv products and services.
Roles and Responsibilities:
Process and maintain data/information accurately and in a timely manner onto Refinitiv databases using financial and technical knowledge
Take responsibility for data quality, timeliness and completeness, this includes root cause analyses of recurring issues.
Respond to data queries from both internal and external clients by taking complete ownership for the queries
Research new and review existing sources to ensure that quality, timeliness and automation are improved.
Promote continuous improvement through research and analysis of queries/data quality control and seek efficiencies in work practices to achieve automation where possible.
Test new database/application releases where appropriate, providing expert user feedback.
Build knowledge of financial regulations, market practices in relevant markets and monitor market events in order to anticipate the changes.
Understand Refinitiv products to provide a higher degree of service and accurate data to the client.
Support specific projects and data enhancements.
Daily update of reports/trackers/production reports.
Train new analysts on market procedures and database.
Identify Root Cause for data issues in the process and implement robust solutions.
Collaborate and assist senior analysts in implementing market procedural changes.
Required Skills (Must have), Necessary industry experience and associated number of years of experience:
Strong knowledge/understanding of Fixed Income instruments such as Notes, Debentures, Bonds etc.
Intermediate understanding of Microsoft SQL is necessary.
Strong interpersonal and business communication skills are essential.
Ability to work under the pressure of strict deadlines.
Well versed with MS-Office applications especially MS-Excel, Macros and PowerPoint.
Ability to work in different shifts (including night shifts).
Possessing computer languages such as Python/R/Java is an added advantage.
Qualification:
BBM/BBA/B.Com/MBA/M.Com
We care about benefits too.
We support our colleagues’ wellbeing with inclusive benefits. So that's support for physical, financial, mental and environmental health, paid time off to volunteer, consumer discounts & savings and so much more. All of which are tailored to your needs and may vary by location. For more details talk to your recruiter.
Our fast paced and supportive environment is only possible due to determined, autonomous problem solvers who love our high performance culture. And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals. So we seek hardworking, qualified employees in all our operations around the world regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under country or local law. Refinitiv is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.
Refinitiv makes reasonable accommodations for applicants and employees with disabilities. If an accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact us to request an accommodation.
Be the breakthrough, activate your future and shape ours."
Novartis,https://www.indeed.co.in/rc/clk?jk=004624db6ff0eefd&fccid=c35194d01a9e2595&vjs=3,Analyst,"100 ! Is the number of learning hours per associate in a year!! Join us to be a part of the ‘Go Big on Learning’ revolution and help Novartis realize its Learning Strategy. An unbossed, curious and inspired work culture is what we follow to the core!!

Your responsibilities include but are not limited to :

Provide administrative support to the implementation of processes and standards for all P&O Services aspects (e.g. services, processes, continuous improvement) and follow up inquiries on problems and requests from customers/users.
Attend to standard service requests, answer questions, resolve problems if possible or support problem resolution by close collaboration with next level support and/or experts.
Perform user administration tasks (e.g. access management)
Assist in tracking service requests and troubleshoots
Support the analysis of error messages and questions.
Perform administrative tasks to facilitate the delivery and presentation of key data to supervisors.
Prepare reports on the evaluation of services and processes.
Provide assistance to P&O Services projects at country or BU level

Minimum requirements
Engineering + MBA with 0-2 years of experience
Learning experience is preferred
Should have good analytical and problem solving skills

Why consider Novartis?
799 million. That’s how many lives our products touched in 2019. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?
We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.
Imagine what you could do at Novartis! Commitment to Diversity & Inclusion:
Novartis embraces diversity, equal opportunity and inclusion. We are committed to building diverse teams, representative of the patients and communities we serve, and we strive to create an inclusive workplace that cultivates bold innovation through collaboration, and empowers our people to unleash their full potential.
Join our Novartis Network: If this role is not suitable to your experience or career goals but you wish to stay connected to learn more about Novartis and our career opportunities, join the Novartis Network here: https://talentnetwork.novartis.com/network
Division
NBS
Business Unit
HR NBS
Country
India
Work Location
Hyderabad, AP
Company/Legal Entity
Nov Hltcr Shared Services Ind
Functional Area
Human Resources
Job Type
Full Time
Employment Type
Regular
Shift Work
No"
Alpha ICT LLP,https://www.indeed.co.in/rc/clk?jk=0b90b6b160bc2667&fccid=d3812d3402a7c8b7&vjs=3,DATA SCIENTIST,"Experience : 5 - 7 Years
JOB DESCRIPTION
Should have a Master’s degree in Statistics, Mathematics, Computer Science
Responsibilities Include:
Interacting with the stakeholders, within the company and the customers, to understand the needs
Exploratory analysis from the existing data
Formulating the questions to be answered and hypotheses to be tested
Identifying additional data to be collected and third-party data sources that will help the analysis
Developing data presentations, models and algorithms required
Using data analysis tools and algorithms and to build “prototypes” to obtain stakeholders’ feedback
Providing inputs and support to software / firmware developers to build the required software components, data structures and dashboards
Interact with other project team members to adhere to overall project schedules
Ensure Adherence to internal development policies and participating in continually improving existing processes
Mandatory Technical Abilities:
Strong problem-solving skills with an emphasis on product development
Experience using statistical computer languages (R, Python…) to manipulate data and draw insights from large data sets
Experience of working with and creating data architectures
Experience of analyzing data from 3rd party providers (Google Analytics, SiteCatalyst, Coremetrics, Crimson Hexagon…)
Experience with data analytics and visualization tools (Tibco Spotfire, Business Objects…)
Proficiency in using query languages such as SQL, Hive
Experience with NoSql databases (MongoDB, Cassandra…)
Knowledge of machine learning techniques (classification, clustering, decision tree, artificial neural networks, etc.) and their real-world applications, advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests, Bayesian statistics, Inferences...) and experience with applications
Good written and verbal communication skills for coordinating across teams
Ability to learn and master new technologies and techniques"
