Company Name,Job link,Title,Text
PD Navkar Bio Chem Pvt Ltd,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Cy5_hns82Nyg3QkjHDdCdfO4d8e5GqQqZiX_GbIhnMJVoVstVXnFjfojH8iw9Pd3nbcAyppU3tmhUqZVQpTW7_sNby1O-QvmYcZxVrPGKEsL-cbp4wCvYExBjbEtSgjdv3Vs5cPsKcGJUqgmLrCiwgirwiPjDoCLXf1KXpzgSf3gwQiuaQlVm4nPd1448i24TazlGyq2RJZAq_HD-Hd8GUX7yYsMxgQqzp7jYuZNZt9jxzGNWrJsRgQq5W_b-F2a8TZ11hlRQKr5kXHNomtLugqJIf2y4V8-UJgamt2Q3ndbAUs0Mpv36ITYAlrq0pOkPz3WLYTFKGGFTU68V4yxbvfcJvb_HT2_UrYOOH5UnRNlDUXKfyj8syCTzJ7pREqJjeRSuTFJJEHj0A9N7r7XwVW6nHz88CIemuN5as07Kvmb6Dy8Su2cVLuEckFZbFkU1s-5vKZ70P-Q==&p=0&fvj=1&vjs=3,Digital Marketing Coordinator,"We’re looking for an experienced Digital Marketing Coordinator to join our team. If you’re a good writer who has a passion for the Internet, we’d like to meet you.
The Digital Marketing Coordinator candidate is both creative minded and performance-driven, a strong collaborator, and an all-rounder. Ideal applicants should understand paid digital advertising or e-commerce marketing, a creative awareness of the social media advertising field, and an aptitude for analysing data and identifying performance trends.
Job Responsibilities
· Assist in the development and production of in-house creative content
· Work with media partners on developing, optimizing, and tracking success of campaigns
· Develop and manage content for digital platforms (LinkedIn, Google Ads, Facebook, twitter, Instagram, etc.)
· Support social media and web analytics
· Management of company Website using CMS systems (Eg- WordPress)
· Manage ecommerce sales for B2B products (Amazon, Flipkart, company website)
· Community management (direct messaging, comments, engaging with tagged posts, etc.)
· Develop and organize social media calendar and other digital initiatives
· Connect with customers and prospective customers on social media
· Provide customer service to consumers via social channels
· Preparing presentation content including PowerPoint slides and infographics
· Build client reports and internal account analyses that are both performance & creative development-driven
· Familiarize yourself with client products & come up with promotional strategies on social media
· Developing digital marketing strategies for B2B and B2C products
Skills/Qualifications
· Experience in Management of professional or organizational social media accounts
. Understanding of SEO and web traffic metrics
· Strong knowledge of social media best practices (Facebook, Instagram, Twitter, LinkedIn, etc.)
· Experience with WordPress CMS preferred
· Strong knowledge of digital marketing metrics, including those reported by Facebook Instagram, Twitter and Google Analytics
· Content creation skills (blogging, infographics, etc)
· Good time-management skills
· Customer service skills
· Analytical skills
· Ability to meet deadlines
· Proficient in Office and Adobe Creative Suites
· Strong communication skills, both verbal and written
· Teamwork and collaboration skills
Job Types: Full-time, Walk-In
Salary: ₹600,000.00 - ₹1,000,000.00 per year
Experience:
work: 5 years (Preferred)
total work: 5 years (Preferred)
Digital Marketing: 5 years (Preferred)
Education:
Master's (Required)
Location:
Bengaluru, Karnataka (Preferred)
Required travel:
25% (Preferred)
Digital Marketing Experience:
Social Media Marketing (Required)
SEM (Required)
Google Adwords (Required)
SEO Marketing (Required)"
PayPal,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0AZUZ1SiG2e4Ouwn9d_PzaL9ycxqvROzmSyfHj86mtRPX8kMGne1k1Cs9QrZthCOLU2INRL1vbOQOX2x_JAmoci4iPEMnXOuA-j51Yn3GosYnVjZzT4Rj4roNlcmy1bUEQxeUS80rzv_BlbW6reMIO8kWmq_rCeRnXJ9DaCqWv851cBqskNnyl4NTTwl7xf2-IKXFuYPvVq0EUqvgSNcLb8-hc_YdqsXKEPUStBx2vccUGMSVBi4i2G5qciA2wiVfwjjjbkLfo0ZQevuVDbAx_oq_oi8tQqB6_nnG0kEq-58gcqjXqXwAAYeD5eQbctDwtrxRNmKUSmDMcGvLq2y0KpTXFcPXf7ByGKqmJr3YB6y7bA5Uekuo1zL6yrhr4WV0L2feotGQWPB5oKNLCP7FDdt6ukC1Dl69-yrhPbY3nyhz13M7L0w21aLssKeDB_tvNtA3fmXEPI567IHzzaz1Y2v5M7UDk-hd8=&p=1&fvj=0&vjs=3,Technical Product Manager-3,"About Role:
As a Technical Product Manager in Credit Risk and collections team, You will be responsible for building scalable platforms for credit risk and collections that enables growth/drive revenue while keeping the losses flat
The ideal candidate is expected to
Understand business needs, end to end customer experiences when building platform solutions.
Understanding of business centric measurement (conversions/retention, funnels, user journeys) will be a big plus
Understanding of lending industry will be a plus
Ability to work with large amounts of data: facts, figures, and number crunching.
Ability to work independently, at times with minimal guidance and ambiguous data to create actionable insights
Job Description – Roles and Responsibilities
Define product requirements and lead successful execution of initiatives
Engage closely with engineering and architecture in Agile methodology to help determine the best technical implementation/design while balancing time-to-market needs.
Partner with cross-functional teams at PayPal and external partners to design, build, launch, and market new payment capabilities
Use A/B Testing, analytics, market research, usability studies, and competitive analysis to drive decision making
Define and proactively monitor key performance metrics to support and inform product decisions. Engage in problem solving with analytics to determine trends and root causes.
Partner with Customer Support teams in solving pain points for our users.
Partner with Legal, Privacy, and Compliance teams to ensure the products we deliver are within regulatory boundaries.
Define a product launch plan for your area, including identifying new opportunities as well as maintaining a rolling marketing roadmap of projects or iterations.
Minimum Required Skills/Qualifications:
Minimum of a BE is required, MBA or MS preferred
Minimum 3 years of experience dealing with technical problem solutions as a product manager.
Proven track record for building, launching, and maintaining high-scale, successful products
Excellent communication and presentation skills – written and verbal
Innovative, entrepreneurial, ability to multi-task
Highly motivated, goal driven, Can-do approach, curious and open minded
Tech savvy which loves to stay on top of industry trend
Job_Description_Summary: Credit Risk and collection teams will be responsible for entire risk lifecycle of the PP Credit products that we offer to Consumers and Merchants. It starts with assessing the Credit worthiness of the Customer when they apply for Credit products to final phase of Collections if they go delinquent.
Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.
We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.
PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities."
Narmadatech Solutions,https://www.indeed.co.in/company/Narmadatech-Solutions/jobs/Digital-Marketing-Associate-4560ab7650c1c0ed?fccid=12dc022fc5cc0e92&vjs=3,Digital Marketing Associate,"Post Graduate with good communication skills
Job Types: Full-time, Fresher
Salary: From ₹10,000.00 per month
Benefits:
Work from home
Flexible work hours
Selection rounds:
HR Interview"
GiveIndia,https://www.indeed.co.in/company/GiveIndia/jobs/Digital-Marketing-Manager-0f220bafe75cef2e?fccid=2a1c4e562e19a519&vjs=3,Digital Marketing Manager,"GiveIndia exists to alleviate poverty by enabling the world to give. Established in 2000, we are India’s most trusted giving platform. Our suite of products enable individuals to donate conveniently to any cause, directly on our platform, at their workplace or through one of our partners. Our community of 1.5M+ donors and 150+ corporate partners have supported 1400+ trusted nonprofits, impacting 8M+ lives across India.
We are an extremely rare workplace that brings a fast-paced, high-growth startup work culture together with a compassion-driven high-impact work environment.
Our Values
integrity in everything we do | empathy towards all | serve with passion | focused on scale
Role
We are looking for an experienced individual to take ownership of end-to-end Digital Marketing for Giveindia. S/he will develop, implement, track, and optimize plans along with marketing campaigns across all digital channels. A strong grasp of concepts regarding marketing tools, strategies, and integrated digital marketing campaigns is a must.
The person joining should be able to work with cross functional teams from conceptualisation to full execution while ensuring outcomes.
Role Responsibilities
- Plan, own and execute all digital marketing initiatives including but not limited to SEM, email marketing, social media, affiliates and display advertising campaigns.
- Build on-page and off-page SEO
- Measure and report on performance, and assess these against goals such as ROI and KPIs.
- Optimize spend and performance based on trend insights.
- Brainstorm new creative growth strategies.
- Plan, execute, and measure experiments and conversion tests.
- Create landing pages and optimize user experience by collaborating with internal teams
- Evaluate end-to-end customer experience using analytical ability, looking across multiple channels.
- Instrument conversion points and optimize user funnel
Role requirements
- Want to contribute, serve and do impactful work for the society
- Want to work with one of the best non-profit/start-up teams of India
- Enjoy working in a fast-paced environment and can stretch at work
- 4+ years of hands-on experience in digital marketing
- Strong data interpretation and analytical skills
- Good understanding and working knowledge of Google Analytics and other similar products
- Tier 1 engineering and/or management degree
Expected Start Date: 5/10/2020
Job Type: Full-time
Salary: From ₹800,000.00 per year
Experience:
7: 5 years (Required)
work: 6 years (Required)
Digital Marketing: 5 years (Required)
Education:
Master's (Preferred)
Digital Marketing Experience:
Social Media Marketing (Required)
SEM (Required)
SEO Marketing (Required)
Work Remotely:
Temporarily due to COVID-19"
Albatronix Hire,https://www.indeed.co.in/company/Albatronix-Hire/jobs/Digital-Marketing-Manager-b053d03aa6ae5c67?fccid=7851f21fcb12cc89&vjs=3,Digital Marketing Manager,"We are looking for an experienced Digital Marketing Manager for one of our clients.
HealthCloudAI, is building an assistive AI solution to bring about a phenomenal change in the quality of Indian healthcare. If you are excited about bringing a positive change in Indian healthcare, you can contribute significantly by joining them as a digital marketing manager.
As a Digital Marketing Manager, you will lead the Digital and Social Media Strategy for HealthCloudAI. You will be responsible for marketing their products to a wider set of healthcare organizations, hospitals and doctors and brining inbound leads. This is a Mini-CMO role to begin with and you will get to work with the founders (PhDs from University of Maryland) as well as an accomplished team of IIT, NIT and BITS engineers.
RESPONSIBILITIES:
Formulation and execution of strategies to build a lasting digital connection with online/offline community and stakeholders
Oversee social and digital media strategy as well as email marketing strategy
Manage and maintain the website
Creating and managing content for blogs and social media accounts
Building effective pipeline for lead generation for sales team through advanced use of digital marketing funnels
Measuring performance of digital marketing efforts using a variety of Web analytics tools (Google Analytics, WebTrends etc.)
Track and analyze website traffic flow and provide regular internal reports
Attain key performance indicators
Building the brand awareness in international markets
REQUIRED SKILLS:
Highly creative with experience in identifying target audiences and devising digital campaigns that engage, inform and motivate.
Excellent understanding of digital marketing concepts and best and emerging practices
Experience of running social advertising campaigns and managing content calendar
Experience in content and content marketing
Experience with email marketing
Highly analytical and data-driven
Experience with B2C social media, Google Adwords, Facebook Ads, Linkedin ads, email campaigns
Experience with SEO/SEM,
Knowledge of ad serving tools (e.g., DART, Atlas) & web analytics tools (e.g. Google Analytics, NetInsight, WebTrends etc.), Hubspot
REQUIREMENTS:
Minimum Qualification: Master’s Degree (preferably in fields such as communication, journalism, marketing etc.)
Work experience: 2+ years in digital marketing
BONUS:
Prior experience in healthcare domain
Job Type: Full-time
Salary: ₹500,000.00 - ₹1,000,000.00 per year
Experience:
Digital Marketing: 2 years (Preferred)
Education:
Master's (Preferred)
Digital Marketing Experience:
Social Media Marketing (Preferred)
SEM (Preferred)
SEO Marketing (Preferred)
Google Adwords (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Byte Academy,https://www.indeed.co.in/company/Byte-Academy/jobs/Digital-Marketing-Manager-3e1c07bcbc61ffe0?fccid=a2dfecef2b6226be&vjs=3,Digital Marketing Manager,"About Byte Academy
Byte Academy is a leader in industry-oriented education with courses in FinTech (Financial Technology), Python software development, and Data Science. Byte Academy established the first FinTech program in the world and the first Python full-stack software development Bootcamp in New York City. Career services and local and global community development are key to achieving Byte’s goals. Our hiring and community partners in the US include Microsoft, Google, JP Morgan, Twilio, Morningstar, and IBM, in addition to startups and incubators. Byte has brought thousands together from diverse backgrounds via its hackathons, conferences, founders’ talks, meetups, and other events. Apart from New York, it has branches in Houston, Bangalore, and Mumbai, Byte Academy delivers its programs both in offline as well as online modes.
Job Brief
Byte Academy is looking for a highly motivated and enthusiastic individual to join the marketing team. If you live and breathe digital marketing, we want to talk to you. In order to help grow our business both in the US as well as in India, we are looking for a Digital Marketing Manager to develop, implement, track and optimize our digital marketing campaigns across all digital channels.
You should have a strong grasp of current marketing tools and strategies and be able to lead integrated digital marketing campaigns from concept to execution. You will work with the marketing team, technical and support teams to launch campaigns on time and on budget.
*Responsibilities
Plan and execute all digital marketing, including SEO/SEM, email, social media, lead forms and display advertising campaigns
Design, build and maintain our social media presence
Measure and report performance of all digital marketing campaigns, and assess against goals (ROI and KPIs)
Identify trends and insights, and optimize spend and performance based on the insights
Brainstorm new and creative growth strategies
Plan, execute and measure experiments and conversion tests
Collaborate with internal teams to create landing pages and optimize the user experience
Utilize the strong analytical ability to evaluate end-to-end customer experience across multiple channels and customer touchpoints
Instrument conversion points and optimize user funnels
Collaborate with agencies and other advertising partners
Evaluate emerging technologies. Provide thought leadership and perspective for adoption where appropriate
Requirements
Engineer / MBA degree with 3-5 years of experience in marketing or a related field
Proven working experience in the digital marketing space
Demonstrable experience leading and managing SEO/SEM, email, social media, lead forms, and/or display advertising campaigns
Highly creative with experience in identifying target audiences and devising digital campaigns that engage, inform and motivate
Solid knowledge of website analytics tools (e.g., Google Analytics, Hubspot)
Experience in optimizing landing pages and user funnels
Experience with A/B and multivariate experiments
Experience in setting up and optimizing Google Adwords and Facebook Ad campaigns
Working knowledge of HTML, CSS, and JavaScript development and constraints
Strong analytical skills and data-driven thinking
Up-to-date with the latest trends and best practices in online marketing and measurement
Compensation
Best in the industry, compensation will not be a constraining factor.
*
Application Deadline: 28/9/2020
Expected Start Date: 21/9/2020
Job Type: Full-time
Experience:
SEO: 1 year (Required)
Edu Tech: 1 year (Required)
Digital Marketing: 2 years (Required)
Education:
Bachelor's (Preferred)
Location:
Bengaluru, Karnataka (Preferred)
Work Remotely:
Temporarily due to COVID-19"
True Influence,https://www.indeed.co.in/rc/clk?jk=6849f1d675cfbc50&fccid=a4ac608785f9d408&vjs=3,"Analyst, Digital Marketing","Job Summary
As a key member of the Production Team, the Analyst, Digital Marketing role will have a responsibility for designing, creating, and delivering email marketing programs to generate awareness and demand for services, products and brands of key clients for the company. The candidate is expected to work closely with the Production team, managing the email marketing campaigns and maximizing revenue opportunities. The ideal candidate must have stong exposure to a wide range of email marketing tools, concepts, and CAN-SPAM laws. IMMEDIATE START DATES STRONGLY PREFERRED.
Duties & Responsibilities
The Analyst, Digital Marketing will have complete responsibility for the email marketing programs and platforms. Specifically, this person will manage or engage in the following:
Manage various email programs, email campaigns, including the design, calls-to-action, and content used in our email sends
Expected to develop and track email campaigns and all email metrics to ultimately increase our business
Conceptualize quirky / creative email campaign ideas and pitch them to the marketing lead
Segment lists based on behaviors, such as past email engagement and interactions (content downloads, site page visits, etc.)
Measure results and optimize the lead nurturing workflows for these segments to generate leads
Work to minimize list decay and unsubscribes while increasing the productivity of our email sends
Develop documentation and road maps for processes, A/B tests, and promotions that succeed through email
Skills & Requirements
Experience with email marketing, lead nurturing, marketing automation, and web analytics
Excellent understanding of email marketing concepts and metrics such as Open Rates, Click through Rates, Sender Score, Deliverability, and Sender Reputation
Proficiency in email marketing and marketing automation technology
Highly analytical approach and ability to derive meaning from data through A/B testing and email optimization
Prolific communication skills. Ability to come up with catchy subject lines and creative mail content
Proficiency in latest Email marketing tools and ability to work single-handedly with minimum supervision
Proficiency with Adobe Photoshop, Dreamweaver, HTML 5, CSS
Expertise in Eloqua, Benchmark, Pardot and other Marketing automation tools if any
A Bachelors or Master’s degree with keen interest towards Marketing/Advertising/Communication
A minimum 1 -2 years of work experience in Email Marketing
Hubspot certification on Email Marketing fundamentals is mandatory
Good team player within a target-driven environment
Self-motivated with a positive attitude and should enjoy working in the team and develop healthy relationships
Experience with lead generation companies
Knack for writing lucid content / copy
Position Title : Analyst, Digital Marketing
Location : Bangalore, India
Department : Production
Hiring Manager : Group Lead, Digital Marketing
Compensation : Salary + Bonus"
Logicon Technosolutions,https://www.indeed.co.in/rc/clk?jk=3f96af031961cd5d&fccid=bb731eccf2dc055c&vjs=3,Digital Marketing Intern,"Location:
Pune
Profile:
We are seeking Digital Marketing Interns for 2-3 month duration who will help us Plan,execute &amp; optimize our digital marketing channels.
Responsibilities:
Day-to-day responsibilities include: Wordpress Website Designing and Content Updates
Perform SEO (search engine optimization) of Website
Work on off-page activities and backlinking
Regular posts Social Media Channels - Facebook, LinkedIn, Instagram, Youtube, Twitter etc
Planning and scheduling for the social media platform
Designing the content for social media
Coordinating with Management team and collecting content inputs
Qualifications:
BBA/MBA graduates with marketing specialization with 0-2 years of experience
Current students of MBA/BBA program can also apply
Along with BBA/MBA, engineering background will be a plus
Basic knowledge of Microsoft word, excel and powerpoint
Good communication skills"
Zelite Solutions,https://www.indeed.co.in/rc/clk?jk=1a398d89dd120405&fccid=2ada51d67c0d2536&vjs=3,Digital Marketing (Min 1 Year Experience),"Responsibilities
Plan and execute all digital marketing, including SEO/SEM, marketing database, email, social media and display advertising campaigns
Design, build and maintain our social media presence
Measure and report performance of all digital marketing campaigns, and assess against goals (ROI and KPIs)
Identify trends and insights, and optimize spend and performance based on the insights
Brainstorm new and creative growth strategies
Plan, execute, and measure experiments and conversion tests
Collaborate with internal teams to create landing pages and optimize user experience
Utilize strong analytical ability to evaluate end-to-end customer experience across multiple channels and customer touch points
Instrument conversion points and optimize user funnels
Track & monitor the progress of digital marketing efforts using analytics tools such as Google Analytics
Create content for blogs, case studies, online newsletters, and promotional emails

Requirements
BS/MS degree in marketing or a related field
Proven working experience in digital marketing
Demonstrable experience leading and managing SEO/SEM, marketing database, email, social media and/or display advertising campaigns
Highly creative with experience in identifying target audiences and devising digital campaigns that engage, inform and motivate
Experience in optimizing landing pages and user funnels
Solid knowledge of website analytics tools (e.g., Google Analytics, Ubersuggest, etc.,)
Experience in setting up and optimizing Google AdWords campaigns
Strong analytical skills and data-driven thinking
Up-to-date with the latest trends and best practices in online marketing and measurement"
Hearing Solutions,https://www.indeed.co.in/company/Hearing-Solutions/jobs/Digital-Marketing-7ee34387555470a4?fccid=b5dac791e7f16c7c&vjs=3,Digital Marketing,"Responsibilities:
Plan and execute all digital marketing, including SEO/SEM, marketing database, email, social media and display advertising campaigns
Design, build and maintain our social media presence
Measure and report performance of all digital marketing campaigns, and assess against goals (ROI and KPIs)
Identify trends and insights, and optimize spend and performance based on the insights
Brainstorm new and creative growth strategies
Plan, execute, and measure experiments and conversion tests
Collaborate with internal teams to create landing pages and optimize user experience
Utilize strong analytical ability to evaluate end-to-end customer experience across multiple channels and customer touch points
Instrument conversion points and optimize user funnels
Collaborate with agencies and other vendor partners
Evaluate emerging technologies. Provide thought leadership and perspective for adoption where appropriate
TECHNICAL SKILLS:
Search Engine Optimization Skills:
On-Page Optimization
Keyword Analysis
Competitive site Analysis
Meta Tag Optimization
Image Optimization
Anchor Linking and Anchor Text Optimization
Xml Sitemap Creation
Robot txt File Creation
Off-Page Optimization
Directory Submission
Link Buildings
Social Bookmarking
Create Blogs and Submission
Blog Commenting
Article Submission
Press Releases Submission
Digital Marketing Skills:
Email Marketing
Social Media Optimization (Facebook, Twitter,Instagram etc.)
PPC
Youtube Channel and Video Promotion
Google Adwords
Facebook Adwords
Requirements :
BS/MS degree in marketing or a related field
Proven working experience in digital marketing
Demonstrable experience leading and managing SEO/SEM, marketing database, email, social media and/or display advertising campaigns
Highly creative with experience in identifying target audiences and devising digital campaigns that engage, inform and motivate
Experience in optimizing landing pages and user funnels
Experience with A/B and multivariate experiments
Solid knowledge of website analytics tools (e.g., Google Analytics, Net Insight, Omniture, Web Trends)
Experience in setting up and optimizing Google Adwords campaigns
Working knowledge of HTML, CSS, and JavaScript development and constraints
Strong analytical skills and data-driven thinking
Up-to-date with the latest trends and best practices in online marketing and measurement
Job Types: Full-time, Contract
Experience:
Digital Marketing: 2 years (Required)
Education:
Bachelor's (Preferred)
Location:
Jubilee Hills, Hyderabad, Telangana (Preferred)
Application Question:
Willing to Join : Immediately
Digital Marketing Experience:
Social Media Marketing (Required)
Google Adwords (Required)
SEO Marketing (Required)
SEM (Required)
Work Remotely:
No"
