Company Name,Job link,Title,Text
Aone HR Services,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0C_Z0AI5f6Z5NvoRrlb8KPoyTzNZVrlYcLcFj7UQeV7oUJJGeF4yAHdlSE7xUg9khSNpee0I19QFZx6zksqFB5plHEmWEtmCSrMjPs80dV2VHfnnwpl_yeHmp4BAaREyYor-lcNY_LKQ7rscaE-oyj_UBIgHFPBHJ5GWir-etpQq_1BjaPQM_Pz36UET-AzA_eqRZMrMBTQevrnjJCqYvyTO0iKxtplAH3aduasCa2CT6l5vq83UnYENJrD2VSkYEZ8SNKSfCaKZh82kDEo78Vb8XIYmlb2vQ7YYgvTWcdp5hWpUqv0KG6l-rlWvZWDLsRU2Z4zIPBHJBTZKQen8FXe65_H_hxpT6Q3jqrelCWOW9QTaSqHCaw36TFeIbEJtXPYDvbvDbQgv0-2UAa7AbSRbx8NQLh2HOfo_x0NTg0_-gQsmXGNMK4sKcRM-nJx5OE=&p=0&fvj=1&vjs=3,Accounts Manager,"Candidate should be from Real Estate
Location : candidates who are comfortable with location only apply
Responsibilities:
a) To assists in preparation of monthly management report and associated schedules, worksheets and narratives, including budget, tally, GST, variance reports
b) Assist in providing follow-up and documentation of significant variances
c) Assist with completion of the quarterly and annual regulatory filings, preparation of assigned Quarterly and Annual Statutory Statement pages/schedules
d) Assist with annual external audit with examination
e) Assist in preparing assigned schedules for the annual and interim audit.
f) Coordinate and resolve various issues with bank such as cleared check differences, bank fee, targeted balance calculations and enhancements to online services
g) Monitor positive pay exceptions
h) Monitor and ensure payment voucher, receipt voucher, contract voucher, sale bill, purchase bill, as per the requirement of IT are maintained by the team on daily basis
i) Ensure the maintenance of monthly balance sheet, P&L a/c as per Income Tax Act
j) Ensure the collection of actual bill or GST Bill as per requirement on daily basis
k) Maintain inventory book (Property and assets) as per Income tax guidelines
l) Maintain assets register as per Income tax guidelines
m) Ensure the everyday daybook, cashbook, on daily basis with proper documentation is closed and send the same message to the management through mail
n) Ensure on time Indent &GRN approval
Requisite Skills:
GST,IT,TALLY
Desired Skills:
Good and in depth knowledge of handling and managing accounts
Should be a good team player
Considerable experience in a similar position
Good knowledge of Income tax act as per the current finance year
Ability to use the scientific process to solve problems
Education:
Masters in commerce, CA,BCOM, MBA FINANCE
Job Type: Full-time
Salary: ₹50,000.00 - ₹60,000.00 per month
Experience:
work: 1 year (Preferred)
Accounts : 6 years (Preferred)
total work: 6 years (Preferred)
Education:
Bachelor's (Preferred)
Job Duties:
Manage multiple accounts, ensuring that a high level of customer retention and satisfaction is maintained
Meet monthly quotas
Engage with multiple customers on a daily basis by reaching out to new clients, and by developing campaigns for maintaining customer loyalty
Implement strategies for retaining customers requesting to terminate or downgrade their account
Record changes to customer accounts, updating service packages, adding accounts, and removing accounts as needed
Other duties as requested
Work Remotely:
No"
Praxis Leaders,https://www.indeed.co.in/rc/clk?jk=9c79d84657b116f9&fccid=e73afd8ad4c80ed3&vjs=3,"Finance Manager, VP - Finance/CFO","Job Description :Job description :THIS POSITION HAS BEEN CLOSEDOne of our esteem clients based out of Karnataka (specifically Mangalore location) is looking for a CFO to be based out on this beautiful city. An accomplished individual who can con

Job Description :

Job description :

THIS POSITION HAS BEEN CLOSED
One of our esteem clients based out of Karnataka (specifically Mangalore location) is looking for a CFO to be based out on this beautiful city. An accomplished individual who can continue already developed financial well-being of the organization by providng financial projections and accounting services; preparing growth plans; directing staff. Below is a detailed description of the roles/ responsibilities that would be associated with this position for your review:
Roles and Responsibilities:
Accomplishes finance human resource strategies by determining accountabilities; communicating and enforcing values, policies, and procedures; implementing recruitment, selection, orientation, training, coaching, counseling, disciplinary, and communication programs; planning, monitoring, appraising, and reviewing job contributions; planning and reviewing compensation strategies.
Develops finance organizational strategies by contributing financial and accounting information, analysis, and recommendations to strategic thinking and direction; establishing functional objectives in line with organizational objectives.
Establishes finance operational strategies by evaluating trends; establishing critical measurements; determining production, productivity, quality, and customer-service strategies; designing systems; accumulating resources; resolving problems; implementing change.
Develops organization prospects by studying economic trends and revenue opportunities; projecting acquisition and expansion prospects; analyzing organization operations; identifying opportunities for improvement, cost reduction, and systems enhancement; accumulating capital to fund expansion.
Develops financial strategies by forecasting capital, facilities, and staff requirements; identifying monetary resources; developing action plans.
Monitors financial performance by measuring and analyzing results; initiating corrective actions; minimizing the impact of variances.
Maximizes return on invested funds by identifying investment opportunities; maintaining relationships with the investment community.
Reports financial status by developing forecasts; reporting results; analyzing variances; developing improvements.
Updates job knowledge by remaining aware of new regulations; participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations.
Accomplishes finance and organization mission by completing related results as needed.

Skills and Qualifications:

Financial Planning and Strategy.
Managing Profitability.
Strategic Planning.
Vision, Quality Management, Promoting Process Improvement.
Forecasting, Corporate Finance, Developing Budgets, Financial Skills, Dealing with Complexity.
Excellent communication skills.
20 + years of progressive experience, corporation/ division/ major company.
CA / Masters in Accounting
Experience in partnering with executive team.
Excellent written and verbal communication.
Experience in handling issues related to Flexible Intermediate Bulk Containers (FIBC) would be a PLUS."
ASSPL - Karnataka,https://www.indeed.co.in/rc/clk?jk=0a31bce0f496fbf9&fccid=fe2d21eef233e94a&vjs=3,Finance Analyst - Biz FinOps,"a. CA/CPA/MBA with knowledge of finance domain particularly related to contracts, invoicing, AR
b. Experience with SalesForce.com, Oracle/Cognos; Receivable Processes
c. Is innovative, can simplify, takes ownership and has strong attention to detail
d. Excellent written and verbal skills
e. Ability to set and prioritize one’s own work agenda and drive team progress in key areas by being proactive, detail oriented, and a strong team player.
f. Must be an independent problem solver that can make high quality judgments and decisions quickly with excellent organization skills.
g. Must be detail-oriented with a demonstrated ability to self-motivate and follow-through on projects.
h. Familiarity with Microsoft Office Suite (particularly Excel).
i. Ability to multi-task and assist with any project, even those outside the scope of the position
j.Willingness and drive to succeed in a fast-paced environment and be at ease with constant change

With millions of customers visiting us every day to find, discover, and buy products, we’re obsessed with making the shopping experience the best it can be – and advertising is a part of that experience. We strive to make advertising so relevant that customers welcome it – on Amazon, on mobile and tablet devices, and across the web. We put the customer at the heart of everything we do.
If you’re obsessed with being a part of digital advertising that informs instead of interrupts; that helps customers deliver great products and brands, not just delivers impressions; and that empowers customers to be decisive, rather than distracts them – then we want you to come join us and make advertising even better. The Amazon India Advertising business is a strategic start-up with support and interest from business units across the company as well as Amazon’s top management. We are a motivated, collaborative and fun-loving team building a high growth business. We are entrepreneurial and have a bias for action and a broad mandate to experiment and innovate. This role offers an opportunity to make a significant impact on the future vision for Amazon.
This position is based at the Amazon India headquarters in Bangalore. We are looking for a hands-on, detail-oriented, highly-motivated and cross-functionally oriented Finance Operations Specialist/Manager to help scale our new and growing Advertising business.

1. Role and Responsibilities:
a. To act as SPOC within business team to review the Receivable health. Cases where receivables are getting delayed, he/she will works with respective BD/category team to fasten the collections.
b. To evaluate and communicate accounts receivable controllership risks with the leadership and assessing the adequacy of existing controls and implementing new controls as needed.
c. To act as custodian of credit policy and to monitor and report on deviations from credit policy
d. To acts as liaison between Ads Operations and invoicing team to ensure all campaigns are invoiced as per SLAs. This also involves communication with different business and support teams as and when required.
e. Partnering with sales and ads operation team to enhance existing invoicing and collection processes
f. To support TT resolution process, work with relevant stakeholder to resolve the issue.
g. To publish the periodic Business MIS viz. booking, Invoicing, DSO/AR etc.
h. To support business teams in setting up the processes for new initiatives.

Background in one or more of the following:
a. financial operations including end to end knowledge of receivable process
b. digital advertising"
GSI,https://www.indeed.co.in/rc/clk?jk=444ecea79b1a5ef2&fccid=89b3bbd2d4819d55&vjs=3,Additional Director General (Finance),"GSI Recruitment 2020 - Additional Director General (Finance) Vacancies - Apply SoonGSI Recruitment 2020-21: Employees State Insurance Corporation (GSI) announced Job notification to hire candidates who completed Any Post Graduate for the position of Additional Director General (Finance). To Apply for the job posting from GSI, please click on the Apply Now button below.Company Name: GSI
Post Name: Additional Director General (Finance)
No of Posts: 1
Salary: 67,000 - 79,000 (Per Month)
Experience: 15 - 16 years
Education: Any Post Graduate
Location: Kolkata
Last Date: 13-11-2020
Selection Procedure: Selection Will be Based either Written Exam/Interview

How To Apply:
Application through proper channel alongwith vigilance clearance, No Penalty certificate, Integrity Certificate, Cadre Clearance, upto date confidential reports and service particular in the prescribed proforma should reach at the following address within 60 days from the date of publication of the advertisement in the Employment news. Smt. Farida M.Naik, Director, Room No.312 D Ministry of Mines, Shastri Bhawan, New Delhi - 110001.
No action will be taken on advance copy. The candidates who apply for the post will not be allowed to withdrawn their candidates subsequently."
Tata Communications,https://www.indeed.co.in/rc/clk?jk=53d130587fba4c5d&fccid=e53a1e83cfcd06ef&vjs=3,Assistant Manager - Finance,"Responsible for managing and administrating the organizations' finance and accounts including budget preparation and periodic review, MIS reporting, accounts receivable and payable, fixed asset accounting and revenue accounting and compliance. Also responsible for ensuring financial control and compliances in the areas of accrual of expenses, accounting for fixed assets and financial reporting under various GAAPs and their corresponding compliances for the TCL Group. The function manages publication of financials for all entities within the organization and present the financials to various stakeholders including senior management, auditors, board. Prepares organization level AOP and tracks the collation, verification and finalization of the AOPs for all BUs. Prepares revenue reports, direct expense reports, support function reports and capex monitoring reports to track against AOP. Drives overall business case preparation, tracking and management across the organization. The function maintains the risk management framework in the organization, conducts internal audits across departments/functions and presents report of key risks and audit findings to the management / Audit Committee/ Board. Drives SOX compliance process in the organization. Provides support to statutory auditors in their independent testing. Monitors revenue losses in Data and Voice business. Works along with business teams on development and roll-out of fraud management system.
Level Descriptor
May independently conduct activities such as business case creation, AOP preparation, preparation and analysis of financials,etc. May lead important projects that require providing experienced project team members with instruction, guidance and advice in all aspects of the project to ensure delivery of quality outcomes. Able to independently resolve complex projects, issues, challenges encountered. Operational role, responsible for delivering results that have direct impact on the achievement of results within the job area and may also impact a wider operational area. Capable of instructing professional or technical staff and reviewing the quality of the work undertaken by these roles.May lead/manage small teams for small projects. Capable of identifying key issues and priorities and focusing on these to deliver required results with minimal direction and supervision. Demonstrate a level of flexibility in resolving problems/issues that at least to in-depth command of all techniques, processes, tools and standards, within the relevant field of specialisation. Able to identify problems and significantly improve, change or adapt existing methods and techniques. Experience : CA/ICWA/MBA/Other equivalent qualification Experience:5-10 years
Purpose - Broad objective of the role
Operating Network - Key External
Operating Network - Key Internal
Size and Scope of Role - Financial
Size and Scope of Role - No. of direct reports
Size and Scope of Role - Total team size
Size and Scope of Role - Other size parameters
Minimum qualification & experience
Other knowledge/skills
Key Responsibilities
Technical Competencies
Knowledge / Skills
Communication Skills"
Roche,https://www.indeed.co.in/rc/clk?jk=c5049f4a5e7063ea&fccid=bca1c8ed48c3b338&vjs=3,Partner- Business Finance,"Partnering with the state clusters to support the decision-making and drive the strategic initiatives that address state cluster specific needs, providing and analyzing valuable insights.
Partnering with COEs (Centre Of Excellence) and LTO (License To Operate) providing financial support and expertise.
Oversee the financial sustainability and prioritization of investments, assess the impact of decisions on company performance and timely align the key stakeholders.
Actively contribute to the network, taking part of Pharma International and local communities and squads and contributing to reaching the desired outcomes.
Oversee the financial performance and timely engage business discussion and update EDP.
Support the preparation and evaluation of business cases and investment prioritization, including pricing schemes and product investment, from the perspectives of return on investment and financial opportunity.
Drive the business plan, business dialogue, budgeting and effective resource allocation; ensure transparency in the light of the new way of working.
Perform scenario analysis for businesses, evaluate opportunities and anticipating risks.
Review performance of the state cluster and identify areas of risk and develop/follow up action plans.
Drive resource allocation and prioritization of projects/investments ensuring transparency and clarity on the strategy.
Analyse and challenge product portfolio to identify cost optimization opportunities.
Eligibility Criteria (Qualification and Experience)
Strong sense of business opportunities
Business planning & analysis experience with business partnering mindset
Minimum 5-8 years of experience
University degree, MBA or equivalent
Business, Accounting or related qualification (CPA, CA, ACCA, CIMA) is a plus
Excellent written and oral communication skills in English
Job Location: location agnostic
Willingness to relocate
Roche is an equal opportunity employer.
Finance, Finance > Financial Planning and Analysis"
Sone India Group Of Industries,https://www.indeed.co.in/company/Sone-India-Group-of-Industries/jobs/Senior-Finance-Officer-c156d2c1bb854a5b?fccid=99d49833e0323737&vjs=3,Sr. Finance Officer,"Sr. Officer (Finance)
Qualification: ICWA/CMA/CA Inter/MBA Finance
Responsibilities:
1. As a member of the Accounts and Finance team will have primary day-to-day responsibility for data collection and preparation of MISs and Analysis’ as maybe defined from time to time
2. Calculations of costing, return on investments, budgeting, financial MISs, ratios etc.
Computer Proficiency
Good working knowledge in MS Office
Good working knowledge of Tally ERP 9
About 2 years of experience
Any Query Please Contact -- Swati Singh -- 8383984091
Job Type: Full-time
Salary: ₹25,000.00 - ₹35,000.00 per month
Experience:
Finance Officer: 4 years (Required)
Job Duties:
Monitoring company accounts and conducting quarterly reviews
Accounts payable
Profit-and-loss statements
Tax preparation
Expense reports
Cost reduction proposals
Payroll
Budgets
Internal audits for policy adherence
Internal audits for tax codes
Presenting budgets and reports to upper management
Additional Duties:
Recordkeeping
Account reconciliation
Running errands (bank deposits, etc.)
Data entry"
Special Situation Advisors India Pvt Ltd,https://www.indeed.co.in/company/Special-Situation-Advisors-India-Pvt-Ltd/jobs/Research-Intern-487ac0927aa4fe1e?fccid=0c2f06ee0eeb9ff7&vjs=3,Research Intern- Finance Department,"Intern's day-to-day Responsibilities include:
1. Work on sourcing of information from secondary resources and maintaining a proper database of all the information collected
2. Work on database & MIS management and helping the team in maintaining databases
3. Work on preparing one-pagers on companies which include background & basic details of companies, basic financials, news articles, etc.
4. Work on researching and analyzing companies, historical financial statements and projecting financial information
Other Requirements:
Must have sound knowledge of finance
Must be open to new learning and opportunities
Must have experience in research would be an added advantage
Must be target oriented and ensuring quality output
Must have knowledge of Microsoft Office applications (Excel, PowerPoint, Word, and Outlook)
Must have an experience of at least 1 Year
Must be from B.Com/BMS/BFM/BAF/MBA background
Contract length: 3 months
Job Types: Full-time, Internship
Experience:
total work: 1 year (Preferred)
Education:
Bachelor's (Required)"
ABB,https://www.indeed.co.in/rc/clk?jk=b28b6042d1cabbd8&fccid=38b4474838e7b7a1&vjs=3,Market Analyst,"Basic Info
Location
Bangalore, Karnataka, India
Job type
Full-Time
Contract
Regular/Permanent

Take the next step in your career at ABB, working in a team that is dedicated to creating a future where innovative digital technologies allow greater access to cleaner energy.
ABB Global Industries and Services Private Limited (GISPL) is a company which has 5 functions to support ABB projects globally. We have 2000 employees as a part of this company serving in the areas of Research, Development, Engineering center and Regional ERP support center which contributes to ABB's 5 divisions globally. In 2015 the company name was registered as ABB Global Industries and Services Private Limited (GISPL).

ABB Industrial Automation is writing the future of safe and smart operations. With our deep industry knowledge and automation expertise, we understand the needs of our customers and enable them to lead through safer, more productive and energy efficient operations.

Reporting to the Business Development Manager and you will be performing market research, analysis business development and various account management duties to facilitate development and execution of marketing and sales strategies for existing and potential global accounts, solutions and channels.
Your responsibilities
Conducting thorough research of customers, competitors, industry segments and financials and provides necessary frameworks/plans to facilitate business decision making.
Tracking and forecasting trends and analyze in detail the data collected to provide management with thorough reports and results.
Preparing reports on findings while illustrating data with graphs and translating complex results into written texts that are clear and understandable.
Ensuring ABB’s value proposition for the target segment is developed and well communicated (internally and externally).
Conducting hands-on analysis of market research outputs to define strategies, uses, and opportunities for ABB businesses, business lines, solutions and channels with measurable benefits.
Managing internal stakeholders of ABB to facilitate and execute running of global account and solution management smoothly.
Analyzing competitor performance based on their financial parameters.
Living ABB’s core values of safety and integrity, which means taking responsibility for your own actions while caring for your colleagues and the business.
Your background
MBA/B.E/B.Tech in Marketing or Finance from a reputed institution.
Required 3 to 6 years of hands-on experience in analytical and marketing skills.
Ability to collaborate in a complex matrix structured organization smoothly and in a timely manner.
Ability to communicate coherently and in a timely manner in a global community of account managers and business stakeholders.
Should support marketing and sales activities to drive IA and global account management ambitions.
Ability to find areas of potential business development in a turbulent macroeconomic environment.
More about us
Bring your very own sense of pride and purpose as you help us drive forward the Fourth Industrial Revolution – creating a sustainable future for our planet, and your career. Join ABB and harness the power of our diverse global network, as you collaborate with and learn from our world-class teams. Above all, challenge yourself every day. Let’s write the future, together.
Important, please include in your CV the following passage:
“I hereby agree for my personal data, included in my job application, to be processed in line with the needs of recruitment, in accordance with the Law on Personal Data Protection of 29th August 1997 (Law Gazette from 2002, No.101, heading 926, as amended).”
Reference Number
IN75923229_E1
Publication date
2020-09-17"
Rane,https://www.indeed.co.in/rc/clk?jk=04d59513033c5267&fccid=b8daf2b109e700a5&vjs=3,Manager / Senior Manager Finance,"This position is for Rane NSK Steering Systems Private Limited and the job location will be at our plant located in Bawal, Haryana.

Roles and Responsibilities
Preparation of the PL of the Plant/Variance Analysis against Budget/Analysis/etc.
Managing the Plant Statutory Audit/Internal Audits
Complying with all Statutory Regulations such as GST/Income Tax/Labour Acts/etc.
Taking care of Payables/Receivables/Review of GL/Trial Balance/Month End Process/Internal Control Management/
Managing the Sales Prices/Purchase Prices Provisions.
Complying with NSK & Rane Policies with regard to all Transactions both Accounting and Legally
Managing the Inter Department Expectations by coordinating with other Departments and achieving the goals of the Plant
Effective utilization of IT in improving Controls
Desired Candidate Profile

8+ years of post qualification experience
Qualified ICWA/CA

Salary: Not Disclosed by Recruiter
Industry:Automobile / Auto Anciliary / Auto Components
Functional Area:Accounts, Finance, Tax, Company Secretary, Audit
Role Category:Accounts
Role:Accounts Manager
Must have Key Skills
Finance
Other Key Skills
Financial AuditingInternal AuditAccountingProfitability AnalysisPlant AccountingFinancial Management
Desired Candidate Profile
Please refer to the Job description above
Education-
PG:ICWA (CMA) - Any Specialization, CA - Any Specialization"
