Company Name,Job link,Title,Text
eFlyStore India Private Limited,https://www.indeed.co.in/company/eFlyStore-India-Private-Limited/jobs/Human-Resource-Internship-1a7b55d90ef6c0d5?fccid=7b18ba2bb63534fd&vjs=3,HR Internship,"JOB BRIEF:
We are looking for HR-Intern to perform daily HR activities and supports management team. If you are interest to start your career in HR domain then we would like to meet you. You would be very responsible for managing daily operation of employees from their joining process to exit process.
Responsibilities:
1. Handling job portals, posting job vacancies for different positions. Interview calling and scheduling of different fields, co-ordinate with candidates from first round to last round, updating candidate’s feedback on mail and call. Managing bulk hiring and tracking their records
2. Co-ordinating HR Manager for making different working policies, notices and official mails & letters
3. Able to give company presentations & policy brief to new joined employees and solving their queries
4. Making documentations of new joined employees , checking and verify the documents and managing their files
5. Managing employee grievances and their daily working management.
6. Participate in organizing company events and careers days
7. Managing employees daily attendance, leave and their records, payroll management
8. Maintain daily records of employee queries, working, observing and analyzing employees behavior
9. Maintain good and positive work environment by understanding and fulfilling organizational need
10. Helping out seiner authorities in decision making
Requirements:
1. Good understanding of HR activities and able to adopt organization culture easily
2. Able to work under pressure
3. Should have basic knowledge of employee policies and legislations
4. Excellent communication with organizational skills
5. Multitasking and having interpersonal skills
Education Required:
MBA-HR
Experience:
Up to 6 months of experience (Fresher with MBA-HR can apply)
Internship Stiffen:
5K-7K
Contract length: 6 months
Job Type: Internship
Salary: ₹5,000.00 - ₹7,000.00 per month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Master's (Preferred)"
BRFM India Private Limited,https://www.indeed.co.in/rc/clk?jk=62fbb025fcb7fddc&fccid=15e90cdc84e6bb1c&vjs=3,Purchases part time job/internship at Bangalore,"About the company:
We are manufacturing wheat products. We have a plant in Belgaum and our office is in Bangalore. Our key institutional customers: Nestle, Parle, etc.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Work on identifying vendors 2. Work on arranging quotes
Who can apply:
Only those students or freshers can apply who:
are available for the part time job/internship (it may be part time in-office or part time at home/work from home online)
have relevant skills and interests
can start the part time job/internship between 18th Sep'20 and 23rd Oct'20
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 1
Categories: Operations,MBA"
Evolent Health,https://www.indeed.co.in/rc/clk?jk=e67bfa273b0be73e&fccid=3586973f5b1c82b8&vjs=3,Data Science- Intern,"Job title

Data Science- Intern

Work Location

Pune, MH, India

No of Positions

1

It’s Time For A Change…
Your Future Evolves Here
Evolent Health has a bold mission to change the health of the nation by changing the way health care is delivered. Our pursuit of this mission is the driving force that brings us to work each day. We believe in embracing new ideas, challenging ourselves and failing forward. We respect and celebrate individual talents and team wins. We have fun while working hard and Evolenteers often make a difference in everything from scrubs to jeans.
Are we growing? Absolutely—56.7% in year-over-year revenue growth in 2016. Are we recognized? Definitely. We have been named one of “Becker’s 150 Great Places to Work in Healthcare” in 2016 and 2017, and one of the “50 Great Places to Work” in 2017 by Washingtonian, and our CEO was number one on Glassdoor’s 2015 Highest-Rated CEOs for Small and Medium Companies. If you’re looking for a place where your work can be personally and professionally rewarding, don’t just join a company with a mission. Join a mission with a company behind it.

Position summary

Evolent is looking for a bright candidates to Join as Data Analyst Intern

Required:
Interested in building career path in Data Science and AI area
Bachelors/Masters’ Degree with a quantitative focus (e.g. mathematics, statistics, computer science or related programs preferred) from universities in top 3 tiers
Background with Data Analysis (statistical modelling, data analysis, python/R/
Good programming skills in either Python, Java , C++ , along with good understanding of data structures and algorithms

Good to Have:
Healthcare background
PhD related to computer science/statistics/engineering/math/physics data analysis field
Good to have Exposure to SQL and any one of the BI tools (Microstrategy, Tableau, PowerBI)

Academic Qualification
Bachelors/Masters’ Degree with a quantitative focus (e.g. mathematics, statistics, computer science or related programs preferred) from universities in the top 3 tiers"
Flixstock,https://www.indeed.co.in/rc/clk?jk=164db0a13b57c975&fccid=f37ef8239adaad5d&vjs=3,Deep Learning Intern,"Company Profile
FlixStock is a category-defining company introducing programmatic visual content creation to the world. FlixStock’s primary mission is to help fashion retailers create fashion images effortlessly and economically.
Bringing technological innovations, we assist in creating very high-quality images at a fraction of the current cost and effortlessly. The world’s largest brands, fashion houses and online apparel retailers trust FlixStock for high-quality images. We have offices in Gurgaon, India and Singapore.
***********************
Your Future with FlixStock
Walk:
Learning data visualization methodologies and understanding data augmentation techniques. Learn the art of training and debugging a neural network is one of the core competencies we expect from you.
Jog:
We start with implementing existing research papers and prototypes, fine-tuning existing neural networks for our use cases. Also extending our in-house networks to multiple use cases and categories.
Sprint:
Designing new neural architectures, improvise and improve on existing neural networks to beat state of the art. Deploying these neural nets to production at scale.
***********************
Responsibilities
Designing, developing, and deploying deep learning systems
Data Aggregation and Analysis and Visualization
Analyzing deep learning architectures and defining architecture strategy deploying models to production
Managing available resources such as hardware, data
Running ML/DL tests and experiments
Defining validation strategies
Defining relevant metrics
Defining data augmentation pipelines Defining the preprocessing strategies
Implementing appropriate DL algorithms
Training models and tuning their hyperparameters Analyzing the errors of the model
Debugging neural networks
Studying and reproducing DL prototypes/research papers
***********************
Requirements
Working knowledge of Deep Learning Architectures/Convolutional Neural Networks
Working knowledge of Supervised Learning, Adversarial Learning
Working knowledge of Image Processing and Computer Vision algorithms
Excellent Python Coding Skills
Familiarity with deep learning frameworks (like Tensorflow or PyTorch)
Familiarity with GPU/CUDA programming
Deep knowledge of math, probability, statistics and algorithms
Understanding of data structures, data modeling, and software architecture
Excellent communication skills
Ability to work in a team
Outstanding analytical and problem-solving skills
***********************
Qualification
BS/MS/PHD
Final year undergraduate and Master’s students can also apply."
Microsoft,https://www.indeed.co.in/rc/clk?jk=eb47a7dc27505df6&fccid=734cb5a01ee60f80&vjs=3,IDC PM Intern Engage Program,"About Microsoft

Microsoft India (R&D) Private Limited, a subsidiary of Microsoft Corporation, set up Microsoft India Development
Center (MSIDC) at Hyderabad in 1998. Over the course of the past 17 plus years, we have expanded to become one of
Microsoft Corporation’s largest R&D centers outside its headquarters in Redmond.
MSIDC is a part of Microsoft Corporation’s strategy of global shared development, where teams across geographies
collaborate to build great software and services. Our development teams are aligned to four engineering groups at
Microsoft Corporation—Application and Services (ASG), Cloud and Enterprise (C&E), Microsoft Business Solutions
(MBS) and Operating System (OS). Our engineers in MSIDC contribute to the engineering of critical and important
technologies in the above areas, thereby impacting millions of lives.

Program Manager @Microsoft
As the in-house advocate for the millions of people worldwide who use Microsoft products, you drive the vision,
design, implementation and market success of next-generation software solutions.
As the owner and advocate of your product components, some of the questions which you would be addressing
through your role are:
Who is the customer?
What customer problem am I addressing?
What product solution do I craft to address this gap?
How do I deliver the best customer experience possible?
Does the product solution meet the business need (revenue, brand, etc.)?
How do I take the product from conceptualization to launch?
How do I work with marketing, and various sales channels to drive adoption?
Responsibilities
Roles & Responsibilities

The role entails the following three distinct aspects:
Defining and executing product strategy and roadmap: Defining who the product is for, identifying the
fundamental problem that we are solving, understanding the competition, and our core positioning w.r.t to the
competition, identifying our approach to the market and partnerships.
Building the Product: Lots of whiteboarding, storyboarding, sketching and designing, iterating with
engineering on tradeoffs between priority/timelines/capabilities, partnering across teams in Microsoft to
deliver the solution, performing usability studies, planning versions, legal, marketing, monetization plans etc.
Connecting with the customer: Evangelizing the product through customer connect, being the ‘face’ of the
product, experimentation, and data analysis, iterating on feedback and learnings.
We have PM openings across our engineering groups.
Qualifications
Eligibility Criteria
Currently pursuing an MBA (or equivalent) from a Tier-I management institute in India.
B. Tech / M. Tech / MS degree in Computer Science or related quantitative field a plus.
2 – 4 years of relevant work experience in program management in a technology / product firm is a plus.
Great communication skills – both oral & written.
Proven ability to have worked in teams.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
KATARUKA AGRAWAL & COMPANY,https://www.indeed.co.in/rc/clk?jk=60465b3753a57c99&fccid=bb46be0e8872eff9&vjs=3,Finance and Audit Internship,"About the company:
A chartered accountant partnership firm, an expert in all types of the audit includes tax audit, internal audit, statutory audit. Also have expertise in project financing, financial visibility report.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Visiting banks for audit 2. Reporting to the management time to time
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 17th Sep'20 and 22nd Oct'20
are available for duration of 6 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 1
Categories: Finance,MBA"
GetMyUni,https://www.indeed.co.in/company/GetMyUni/jobs/Placement-Officer-04b67c40bf416d56?fccid=08f43ca4d85ba4dd&vjs=3,Placement Officer,"About GetMyUni:
GetMyUni is a TimesInternet backed ed-tech startup with a vision to enable a student's post K-12 learning journey. We do that via our products which today serve over 40M+ users annually.
- Getmyuni.com (Study in India),
- Ieltsmaterial.com (Study abroad) - acquired: https://www.techcircle.in/2020/05/04/times-internet-backed-getmyuni-acquires-london-based-ielts-prep-platform/
- Thecollegemonk.com (Study in USA)
- Avagmah.com ( OPM - > enabling universities to offer end to end online degrees and certifications) - acquired: https://yourstory.com/2020/06/times-internet-getmyuni-online-learning-startup-avagmah
This job profile is for GMU Avagmah which is one of the leaders and one of the most respected in the online education space who has been helping leading Universities like Pondicherry University, Bharathidasan University , NIT Kurukshetra, IIM Calcutta, UCLA Extension, and many more go online and help admit 10s of 1000s of students from all over India and abroad
Job Description:
*
As one of the leading EdTech companies in India offering online Technology and Management programs, we also help our students who have completed the course in getting placed. This job role is responsible for coordinating with corporates in getting job requirements and maintaining relationships with corporates as well as coordinating with students and helping them through their placement process.
Job Responsibilities
*
An individual is responsible for hiring corporate partner acquisition, and the other responsibilities include the following:
*
Follow up with corporates for recruiting the students for internships/ placements
Identify and maintaining long-lasting relationships with professional hiring partners for placement of students
Constant check on hiring web portals for filling up the vacancies on time
Should coordinate with the candidates for any queries on placement. Ensure students’ go through any pre-placement training if they are conducted by us
Establish plans and activities with recruiters
Should be able to address the company requirements and conceptualize solutions whenever needed
Managing all the information of the student that supports the placement process.
Try and forge relationships with corporates to create training programs linked placement services so that company can create custom training programs and attract students at the end of the training, corporates confirm to recruit students who had enrolled.
Skills Required
Candidate should have the following:
*
Should be having at least with 1 to 2-year experience in a leading resource management company such as Teamlease, Manpower Consultancies, etc and having MBA from a Tier 2 MBA graduate (or)
Should have 5-7 years of experience as a placement officer of a leading private engineering university/ institute
*
Remuneration: CTC ranges from Rs. 6 to 9 LPA
*
Job Type: Full-time
Salary: ₹600,000.00 - ₹900,000.00 per year
Experience:
work: 5 years (Preferred)
total work: 5 years (Preferred)
Education:
Master's (Required)
Work Remotely:
Temporarily due to COVID-19"
Happiest Minds Technologies,https://www.indeed.co.in/rc/clk?jk=a90ec00416269c86&fccid=a7d4f8a12bc3bdcc&vjs=3,Intern,"About Happiest Minds Technologies Limited
Happiest Minds, the Mindful IT Company, applies agile methodologies to enable digital transformation for enterprises and technology providers by delivering seamless customer experience, business efficiency and actionable insights. We leverage a spectrum of disruptive technologies such as: Big Data Analytics, AI & Cognitive Computing, Internet of Things, Cloud, Security, SDN-NFV, RPA, Blockchain, etc. Positioned as “Born Digital . Born Agile”, our capabilities spans across product engineering, digital business solutions, infrastructure management and security services. We deliver these services across industry sectors such as retail, consumer packaged goods, edutech, e-commerce, banking, insurance, hi-tech, engineering R&D, manufacturing, automotive and travel/transportation/hospitality.
Headquartered in Bangalore, India; Happiest Minds has operations in USA, UK, The Netherlands, Australia and Middle East.
JD for Market Research
Business unit: Corp
Practice: Inside sales
Education: Any graduate with MBA Marketing as specialisation
Internship Period: 2 months
Positions: 2
Responsibilities:

Conduct effective market and industry analysis to identify prospects
Orchestrate targeted email /call campaigns to reach key decision maker’s.
Identify customer’s interest and arrange for a meeting/teleconference with Happiest Minds Sales & Business Development team.
Ability to conduct market research and built marketing database.
Data scrubbing, Requires excellent MS Excel skills
Understand target market characteristics and map its needs with the offerings
Research within the industry to create call lists and design campaigns

Skills required: Good excel & good communication skills"
Tangerine Innovation Labs Private Limited,https://www.indeed.co.in/rc/clk?jk=684e3c41ed204d59&fccid=671d9e7e69032095&vjs=3,Database Development Internship,"About the company:
Tangerine is an AI-powered data analytics company for smart mobility, offering solutions for fleet management, shared mobility, and insurance telematics. Tangerineâ€™s products and services for planning, diagnostics, analytics are designed for commercial fleets, insurance, and automotive OEMs to manage their heterogeneous mobile assets, from bikes and cars to trucks and trailers.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Working in data modeling for relational DB 2. Writing SQL queries 3. Working with MySQL/PostgreSQL/MongoDB
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 16th Sep'20 and 21st Oct'20
are available for duration of 6 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 2
Categories: Database Building,Operations,MBA,Programming,Computer Science,Engineering"
Center Of Digital Excellence Private Limited,https://www.indeed.co.in/rc/clk?jk=88723144ef78384e&fccid=681e866b39ced34b&vjs=3,Project Management part time job/internship at Noida,"About the company:
Center Of Digital Excellence Private Limited is a leading organization in the field of automation which has the foresight to be a futuristic leader in product development within India especially in the new fields of innovative technologies (robotics, AI, & IoT). It is driven by IT professionals who are in this industry and have been managing digital transformation & other relevant fields for the past 15-20 years.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Achieve operational objectives by contributing information and recommendations to strategic plans and reviews 2. Prepare and complete action plans 3. Implement production, productivity, quality, and customer-service standards 4. Resolve problems, complete audits, identify trends, determine system improvements, and implement change 5. Enhance department and organization reputation by accepting ownership for accomplishing new and different requests and exploring opportunities to add value to job accomplishments 6. Meet financial objectives by forecasting requirements, preparing an annual budget, scheduling expenditures, analyzing variances, and initiating corrective actions Qualifications/Skills: 1. Strong written and verbal communication skills 2. Supervision 3. Project and process management 4. Negotiation skills 5. Budget development and tracking 6. Mentoring and coaching 7. Critical thinking 8. Strong organizational and analytical skills Qualification:- 1. Bachelorâ€™s degree in project management, business administration, or related field 2. MBA preferred 3. Proficient with spreadsheet software and project management software
Who can apply:
Only those students or freshers can apply who:
are available for the part time job/internship (it may be part time in-office or part time at home/work from home online)
have relevant skills and interests
can start the part time job/internship between 17th Sep'20 and 22nd Oct'20
are available for duration of 3 months
have already graduated or are currently in any year of study
Females willing to start/restart their career may also apply
Number of internships/jobs available: 10
Categories: Operations,MBA,General Management"
