Company Name,Job link,Title,Text
Harmony interior archect,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0CkrcEc8aQAakyu2SH34At4CHoY3q0BP6cjt5DP7DLeZDpsORLf3Aw7Fgkb388WNoLssynddLJLVZmuBue-ZIiRE8jwsp1GQ_5DV4fRdTInk7b0N9LIXHbo7byJFeHbtby3gkM2v9gEMp_nhBWoSJFrVncv_1FogLHNimGOVnOqQcO6dMpOn2s3KLGo2pNgPEF39W6Vu41dk1oD6mn6dqUoVkYbzrSzhEpFH8RblBBzFr7P3fFGwTVhDJJToF7Okm03wtjJhwgtWAnAVv4dJ61zPXx5uia9Ld5uZWOMrsSQKkiCqEjRVnx6DgqoBWygxKzehWH3FZnlBGl-gUpVWBx6zCI2KuP3f9mLNWEeMYaDN0InX9I8ATuaODlTHcIalQysB6l3zpjTEuy9nlY63d8-MeMvI8fMXG1_06YdLzPuFGIesmrr_AKA&p=0&fvj=1&vjs=3,Bussiness marketing development excutive,"Good communication skill / age : 26 to 35 qualifications : degree / MBA ' looking smart good appearance
Job Type: Full-time
Salary: From ₹15,000.00 per month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Marketing: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Marketing Experience:
Client Management (Preferred)"
Bajaj Allianz General Insurance Company,https://www.indeed.co.in/rc/clk?jk=3c7e80c82dfc207c&fccid=bd3e9ed10e9b62c2&vjs=3,Assistant Manager Corporate Marketing - Broking,"Job Description
:


1.Attaining the budgeted targets.
2.Managing relationships & driving business through brokers allocated to him.
3.Servicing brokers to procure new business & retain/secure our own renewal and cross sell new lines of business.
4. Liasoning with internal team to releasing of the Quote within the TAT period, endorsements, policy booking and claims settlement.
Department
:
East
Open Positions
:
1
Skills Required
:
Corporate Broking, , General Insurance, Corporate Marketing
Location
:
Kolkata Manisquare
Education/Qualification
:
Graduate/Post Graduate/Master Dregree
Desirable Skills
:
1.Good communication skills. 2.Flexible & adaptable to change. 3.Well versed with MS Office. 4.Should have good analytical and problem-solving skills.
Years Of Exp
:
5 to 8 Years
Posted On
:
17-Sep-2020
Designation
:
Assistant Manager Corporate Marketing - Broking"
ITIPS ADVISORY,https://www.indeed.co.in/rc/clk?jk=6a46ac8b67423686&fccid=58bd06970e58575a&vjs=3,Intern - Marketing,"Qualification: MBA(Pursuing)
Industry: Stock Market
Role: Marketing Executive

Intern Responsibilities and Expectations
A brief knowledge about social media marketing.
Must have skills in online marketing and internet.
Must have a own laptop.
Work within a fast paced team environment.

Job Description:
Role : Marketing Executive
Job Profile : Online and Social media marketing
Location : Infantry Road, Bangalore
Education : MBA (Pursuing)
Skill set : Self-Confident, Energetic, Positive Attitude, Willingness to Learn
Timings : 9 am to 6 pm
Vacancies : 4

Intern Requirements:
Pursuing MBA.
Must be in nearby area to assigned office to start work on designated start date.
Must commit to 40 hours per week.
Must be able to live in the vicinity of the assigned office for the duration of the Internship.
An entrepreneurial spirit. Our team is hard-working, self-motivated and confident.
Seeking a career in the marketing field.
Must implement feedback and be a quick learner. The marketing Internship Program will require interns to adapt to change, think outside the box and assimilate into the office environment."
Narmadatech Solutions,https://www.indeed.co.in/company/Narmadatech-Solutions/jobs/Digital-Marketing-Associate-4560ab7650c1c0ed?fccid=12dc022fc5cc0e92&vjs=3,Digital Marketing Associate,"Post Graduate with good communication skills
Job Types: Full-time, Fresher
Salary: From ₹10,000.00 per month
Benefits:
Work from home
Flexible work hours
Selection rounds:
HR Interview"
PD Navkar Bio Chem Pvt Ltd,https://www.indeed.co.in/company/p-d-navkar-bio/jobs/Digital-Marketing-Coordinator-35927e94cd23130d?fccid=7c8a75d99770f6c4&vjs=3,Digital Marketing Coordinator,"We’re looking for an experienced Digital Marketing Coordinator to join our team. If you’re a good writer who has a passion for the Internet, we’d like to meet you.
The Digital Marketing Coordinator candidate is both creative minded and performance-driven, a strong collaborator, and an all-rounder. Ideal applicants should understand paid digital advertising or e-commerce marketing, a creative awareness of the social media advertising field, and an aptitude for analysing data and identifying performance trends.
Job Responsibilities
· Assist in the development and production of in-house creative content
· Work with media partners on developing, optimizing, and tracking success of campaigns
· Develop and manage content for digital platforms (LinkedIn, Google Ads, Facebook, twitter, Instagram, etc.)
· Support social media and web analytics
· Management of company Website using CMS systems (Eg- WordPress)
· Manage ecommerce sales for B2B products (Amazon, Flipkart, company website)
· Community management (direct messaging, comments, engaging with tagged posts, etc.)
· Develop and organize social media calendar and other digital initiatives
· Connect with customers and prospective customers on social media
· Provide customer service to consumers via social channels
· Preparing presentation content including PowerPoint slides and infographics
· Build client reports and internal account analyses that are both performance & creative development-driven
· Familiarize yourself with client products & come up with promotional strategies on social media
· Developing digital marketing strategies for B2B and B2C products
Skills/Qualifications
· Experience in Management of professional or organizational social media accounts
. Understanding of SEO and web traffic metrics
· Strong knowledge of social media best practices (Facebook, Instagram, Twitter, LinkedIn, etc.)
· Experience with WordPress CMS preferred
· Strong knowledge of digital marketing metrics, including those reported by Facebook Instagram, Twitter and Google Analytics
· Content creation skills (blogging, infographics, etc)
· Good time-management skills
· Customer service skills
· Analytical skills
· Ability to meet deadlines
· Proficient in Office and Adobe Creative Suites
· Strong communication skills, both verbal and written
· Teamwork and collaboration skills
Job Types: Full-time, Walk-In
Salary: ₹600,000.00 - ₹1,000,000.00 per year
Experience:
work: 5 years (Preferred)
total work: 5 years (Preferred)
Digital Marketing: 5 years (Preferred)
Education:
Master's (Required)
Location:
Bengaluru, Karnataka (Preferred)
Required travel:
25% (Preferred)
Digital Marketing Experience:
Social Media Marketing (Required)
SEM (Required)
Google Adwords (Required)
SEO Marketing (Required)"
Shine projects,https://www.indeed.co.in/company/Shine-projects/jobs/Marketing-Business-Development-95242f225dd2720f?fccid=76f6b6755746f34a&vjs=3,Marketing & Business Development,"About the work from home job/internship
Commerce UGs/PGs(such as BBA, Bcom& MBA) will be preferred over the others
1. Managing, prospecting, rapport building, objection handling, and relationship management
2. Lead generation & revenue generation
3. Fetching business from the existing clients through relationship building and relationship management
4. Collecting feedback from the clients and updating it on the website on a regular basis
5. Liasoning with different stakeholders to ensure business continuity
Who can apply:
Only those candidates can apply who:
1. Are available for the work from home job/internship
2. Can start the work from home job/internship immediately
3. Are available for a duration of 1 month
4. Have relevant skills and interests
* Women wanting to start/restart their career can also apply.
Contract length: 1 month
Part-time hours: 7 per week
Job Types: Full-time, Part-time, Internship
Salary: ₹5,000.00 - ₹25,000.00 per month
Education:
Bachelor's (Preferred)
Language:
English (Preferred)
Work Remotely:
Yes"
MUNICH MOTORS - BMW,https://www.indeed.co.in/company/MUNICH-MOTORS---BMW/jobs/Marketing-Manager-e20f584bee31f9c6?fccid=9c6a30dc326f53bc&vjs=3,Marketing Manager,"Job Summary
Manager- Marketing
Responsibilities and Duties
Lead Generation
Lead Management
Branding
Product Promotion
MIS
Event Management
Key Skills
Market Analysis, Product Demos, Communication in english
Required Experience and Qualifications
MBA , Minimum 2 years of experience in any service industry
Job Type: Full-time
Salary: ₹18,000.00 - ₹30,000.00 per month
Experience:
work: 2 years (Preferred)
total work: 3 years (Required)
Client Management: 1 year (Preferred)
Education:
Master's (Preferred)
Licence:
Driving (Required)"
Ola Cabs,https://www.indeed.co.in/rc/clk?jk=a7ecc5b6b50fe6e9&fccid=0a32845764a7ca0f&vjs=3,Manager - Marketing,"Job Title:
Marketing Manager
Department / Group:
Marketing

Location:
Bangalore
Position Type:
(Full-time, part-time, contract, intern)
Full Time

About Us:
Our goal as Ola Electric, is to enable and maximize the number of electric kms delivered through our ecosystem of products and services. We start with India but our ambitions are global.
E-Rickshaws provide a unique opportunity to build out our charging infrastructure. E-ricks deliver over 50 million kms of electric mobility in India everyday - no other form factor comes close. As such, our near term goal is to launch a swapping network that serves a disproportionate share of e-rickshaw market (100,000 in 2 years)
That said, we are building our batteries and charging infrastructure in a way that it can serve all sorts of electric vehicles tomorrow including 2Ws, our own 3W and potentially small 4Ws

Roles and Responsibilities
-Marketing managers are responsible for developing, implementing and executing strategic marketing plans in order to attract potential customers and retain existing ones
Day-to-day tasks include managing and coordinating marketing and creative staff, leading market research efforts to uncover the viability of current and existing products/services,
and liaising with both external agencies - media organizations and advertising agencies and Internal stakeholders across CFTs
Add to this, the task of building the strategic footprint of how the brand/ portfolio shall grow
Ability to write and translate brand requirement to correct outcomes for both external and internal stakeholders from whom work is expected

Experience & Skills
MBA preferable
8+ years of Experience
Must have prior experience of leading teams

Qualifications

Important Links that will tell you more about OLA Electric:
How Ola Electric turns into a Unicorn
Ratan Tata invests in Ola Electric’s promising future
Ola Electric - Media"
Morphogenesis,https://www.indeed.co.in/company/Morphogenesis/jobs/Senior-Marketing-Executive-10728832c723fe96?fccid=920fbea9f5e43425&vjs=3,Senior Marketing Executive,"Job Brief:
We are looking for a Digital Marketing Specialist to develop, implement, track and optimize our marketing strategies and campaigns across all digital channels. You should have a strong grasp of current marketing tools and strategies and be able to lead integrated digital marketing campaigns from concept to execution. Planning digital marketing campaigns, including web, SEO/SEM, email, social media and display advertising. Maintaining our social media presence across all digital channels. Measuring and reporting on the performance of all digital marketing campaigns.
Responsibilities:
Strategize, budget and execute all digital marketing, including SEO/SEM, marketing database, email, social media and display advertising campaigns. Content based SEO, media/news publications, website traction, Facebook/google ads and organic marketing.
Establish our web presence. Build, boost and maintain our social media platforms and presence
Coordinate the creation of digital content (e.g. website, blogs, press releases and podcasts). Collaborate with internal teams to create landing pages and optimize user experience
Measure and report performance of all digital marketing campaigns, and assess against goals (ROI and KPIs)
Brainstorm new and creative growth strategies
Utilize strong analytical ability to evaluate end-to-end client experience across multiple channels and customer touch points. Instrument conversion points and optimize user funnels
Evaluate emerging technologies. Provide thought leadership and perspective for adoption where appropriate
Requirements:
Bachelor’s degree and Masters/PG Diploma in Marketing, Advertising, Communication, or a related field from a recognized institution
Proven working experience of 3-6 years in digital marketing
Demonstrable experience leading and managing SEO/SEM, marketing database, email, social media and/or display advertising campaigns
Highly creative with experience in identifying target audiences and devising digital campaigns that engage, inform and motivate
Solid knowledge of website analytics tools (e.g., Google Analytics, NetInsight, Omniture, WebTrends)
Experience in setting up and optimizing Google Adwords campaigns, ad serving tools (e.g., DART, Atlas)
Strong analytical skills and data-driven thinking
Up-to-date with the latest trends and best practices in online marketing and measurement
Job Type: Full-time
Salary: From ₹700,000.00 per month
Experience:
total work: 2 years (Required)
Education:
Master's (Preferred)
Industry:
Real Estate
Work Remotely:
No"
Imcrinox Technologies Private Limited,https://www.indeed.co.in/company/Imcrinox-Technologies-Private-Limited/jobs/Marketing-Manager-0dc3561ced7f7f7a?fccid=558339113de7c693&vjs=3,Marketing Manager,"* min 3-5 years experience in Digital marketing
*preferably BBM / BBA / MBA in marketing
*any additional courses in digital marketing will be good as well.
Skills required:
1. Digital Marketing
2. Marketing Strategy
3. Social Media Marketing
4. Social Media Management
Job Type: Full-time
Experience:
Marketing Strategy : 3 years (Preferred)
total: 3 years (Required)
Social Media Marketing : 3 years (Preferred)
digital marketing: 3 years (Required)
Education:
Bachelor's (Preferred)
Marketing Experience:
Marketing Campaigns (Preferred)
Digital Marketing (Preferred)
Client Management (Preferred)"
