Company Name,Job link,Title,Text
ED MOTORS,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0A_z0C07Gk8ogoF0CDJLuY5RyZewFnvq1V9mkSioMGaNXcTVqx_LPVpQpMUH3DMKZkUoVykUG_Ocps3fF3UeGClTyqaMWm7I8QbFO3YjvDy_vb5o4IaHs_LL5yhX7S7nxDdUr_Fia5nldLPa2bIOpNmXnKmFzanKmnquy0HDvktp84acQqjSaRKEww73ev_8LD95sTgK6CbVgv5esqoEkrHrXsU3VYsfd1a9p3nwnDbva7FXf8AmgoZIHh0U1q808ovVKJWkobp-ATpgkKcCVxcF8ZrJRMtOfcbwdXlBhXtsvysC2swMlJ-86iEOUR_IDDqCyfSI5-3a24hB9xuO0SOeUZE7d4D4Ng62DCfBF4_oQW029rJXfhalkYCemirkdkx4xGOF1u544LCuISV9dV14u4Umn9huNN6or1dz4uXLtK-vcia2qe1O8lCvAffHyT--Dm5eIr4zw==&p=0&fvj=1&vjs=3,Battery CAE Engineer,"Battery CAE Engineer
Job Category
Engineering & Information Technology
Location
Hyderabad
Job Type
Full-time
Responsibilities
· Providing CAE and CFD support through build of state of art FE and CFD models to the finest details.
· Supporting design progression and evolution with multi-disciplinary engineering teams based on your analyses.
· Drive manufacturing centric battery module designs with CAE and CFD, while balancing all applicable requirements with state-of-the-art design and innovative manufacturing methodologies.
· Perform advanced CAE and CFD simulations to evaluate and enhance sub-systems and full product simulations of specific design attributes and manufacturing processes.
· Develop and apply advanced methodologies with smart analysis techniques to drive innovation into end products.
· High skills level in multidisciplinary domains of single and multi-phase CFD, Thermal, Coupled electrical and Thermal CAE.
· Develop and support subsystem level & full vehicle correlations in line with standard protocols and best practices.
· Perform post-test reviews and corroborate the CAE and CFD predictions to test results.
· Develop highly predictive models of materials and processes to enable good correlations with physical tests.
· Conduct optimization studies by utilizing optimization tools, including DOE/ DFSS techniques on components, assemblies, or vehicle designs to meet performance requirements with the constraints of mass and cost.
· Perform analyses for feasibility of manufacturing, assembly and service processes.
· Provide input in the creation of component specification, component DFMEA, and other technical design documents where analysis plays a pivotal role.
· Produce concise management summaries and report-outs that meet the needs of management system functions. · Collaboration with other modeling and design teams.
REQUIREMENTS
· B.Tech or M.Tech in Engineering, or proof of exceptional skills in related field, with practical experience.
· Deep knowledge of Finite Element Analysis, Finite Volume Method, Smooth Particles, Hydrodynamics, CFD, Applied Solid Mechanics, Material science and Computational Numerical Methods within a product development environment in a transportation industry.
· Minimum 3+ years of demonstrated successful experience with at least two relevant product lines.
· Excellent applied experience in ANSYS-FLUENT, STAR CCM+, required.
· Applied experience in ANSA or HYPERWORKS, preferred.
· Additional experience in LS-DYNA, NASTRAN, TOSCA MODEFRONTIER and ABAQUS beneficial.
· Demonstrated experience in simulating steady state and transient single and multi-phase fluid flows on sub-systems and full vehicle models.
· Preferred experience in stand-alone or coupled analysis of electronic components for thermal, fluid mechanics, electro-magnetism, and structural.
· Preferred experience in the analysis of coupled thermal-electrical problems, fluid flow through vehicle bodies, and electronics cooling.
· Preferred experience in HV battery design and optimization.
· Preferred knowledge of optimization tools and techniques.
· Demonstrated ability to deconstruct complex test scenarios with good logic and analytics and root-causing correlation problems.
Job Type: Full-time
Experience:
work: 3 years (Preferred)
total work: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
PD Navkar Bio Chem Pvt Ltd,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0Cy5_hns82Nyg3QkjHDdCdfO4d8e5GqQqZiX_GbIhnMJVoVstVXnFjfojH8iw9Pd3nbcAyppU3tmhUqZVQpTW7_sNby1O-QvmYcZxVrPGKEsL-cbp4wCvYExBjbEtSgjdv3Vs5cPsKcGJUqgmLrCiwgirwiPjDoCLXf1KXpzgSf3jD6yPVEB231pjD3bslTnu2MKuSKz6GOECf1bdWqohUddojWivX9Nvgrzvl05Tyo0DsGKGiIxlV2ah67h4HugRbHBgXqOuRRC-2RKYw90e3ryuJvLqpHzy3Pe5EeRR2YpUTp1m0wOdN3cfbBeQwh7KwU-2twhelhkPpr-jr0yg07Z1uLSEOL7gxNCbAxWslpHiWBILAZO-sU1FPuklPhulG5aMYfGDCKLmRPn_EvTCWN1TPmXF2TBpRkzYemq9bA-hvUKDxXKu1Y0thpO_C7j-fF8b9b6YscDVwwxwdC5D60&p=1&fvj=1&vjs=3,Digital Marketing Coordinator,"We’re looking for an experienced Digital Marketing Coordinator to join our team. If you’re a good writer who has a passion for the Internet, we’d like to meet you.
The Digital Marketing Coordinator candidate is both creative minded and performance-driven, a strong collaborator, and an all-rounder. Ideal applicants should understand paid digital advertising or e-commerce marketing, a creative awareness of the social media advertising field, and an aptitude for analysing data and identifying performance trends.
Job Responsibilities
· Assist in the development and production of in-house creative content
· Work with media partners on developing, optimizing, and tracking success of campaigns
· Develop and manage content for digital platforms (LinkedIn, Google Ads, Facebook, twitter, Instagram, etc.)
· Support social media and web analytics
· Management of company Website using CMS systems (Eg- WordPress)
· Manage ecommerce sales for B2B products (Amazon, Flipkart, company website)
· Community management (direct messaging, comments, engaging with tagged posts, etc.)
· Develop and organize social media calendar and other digital initiatives
· Connect with customers and prospective customers on social media
· Provide customer service to consumers via social channels
· Preparing presentation content including PowerPoint slides and infographics
· Build client reports and internal account analyses that are both performance & creative development-driven
· Familiarize yourself with client products & come up with promotional strategies on social media
· Developing digital marketing strategies for B2B and B2C products
Skills/Qualifications
· Experience in Management of professional or organizational social media accounts
. Understanding of SEO and web traffic metrics
· Strong knowledge of social media best practices (Facebook, Instagram, Twitter, LinkedIn, etc.)
· Experience with WordPress CMS preferred
· Strong knowledge of digital marketing metrics, including those reported by Facebook Instagram, Twitter and Google Analytics
· Content creation skills (blogging, infographics, etc)
· Good time-management skills
· Customer service skills
· Analytical skills
· Ability to meet deadlines
· Proficient in Office and Adobe Creative Suites
· Strong communication skills, both verbal and written
· Teamwork and collaboration skills
Job Types: Full-time, Walk-In
Salary: ₹600,000.00 - ₹1,000,000.00 per year
Experience:
work: 5 years (Preferred)
total work: 5 years (Preferred)
Digital Marketing: 5 years (Preferred)
Education:
Master's (Required)
Location:
Bengaluru, Karnataka (Preferred)
Required travel:
25% (Preferred)
Digital Marketing Experience:
Social Media Marketing (Required)
SEM (Required)
Google Adwords (Required)
SEO Marketing (Required)"
Refinitiv,https://www.indeed.co.in/pagead/clk?mo=r&ad=-6NYlbfkN0D6Outzevkklm9u1wEqPpqtLI6IM60NTtoSPOUa_Du_DomORgL6XSWXSpHJVOFhkO9BaNSMEmrTvsM-HcS0ORlI1w1gaMXKAlfGNFoLcMYP9Dzrbf-hQk3x38FPOsQywCaakvmb0MunxGCk0noirApdf8kNuUVI6BiY1fYn7r_r6umvTOo2W6fi0EqmLZdBqrvS3LI_Q8Y3deXNGfI6zu8qt4klpVQqbgHEVa_RA8XjmEDaMnnLd9O4n7INQ3y2T9EmLHzLreGnA3IOUYBtbcKgi_UMpnQAwLE1AKtpAfUQ0qe9eM592hpWsiGgb5tnk4FCCJnaYF-Rm17Iui_3w_yVdx7kGrAhJ_97UkXYywqqzRlHDAb6kzli4HK_az-2nOXKFCdoXeniP6VAIfUb1gFkKYA-swFzaVVRTKdG6Qu5haRhUQytXhwD2K_O5wFOVKfsmbatbCpjTRUdEMplxOD5LEBswO0PPqZDSOBH5HX5hKeiogf2i2fW7NOgmlgAYBh6_ocMR7JLAEpk0gqNSKGrK8RVcKdX1IsJDfBOa9UBZy4W3JerwKu9Qqgk27W9Ui0LDYV7EXrRi3-Tb-ARLbU4DGyNVWiaaelf-ROx4qwFxA==&p=2&fvj=0&vjs=3,Client Support Analyst,"Refinitiv is a leading provider of information and technology solutions to the global financial community. Client Support Analysts are a key and valuable link between our product & services offerings and our customers. Combining a thorough knowledge of capital markets and Content, with expertise of our software, CSAs will be responsible for providing real time Market Data support for Refinitiv Sales, Buy side trading, brokerage & exchange clients on multiple global and domestic workstations and various financial applications & content.
Client Support Analyst will respond to incoming Client questions regarding Refinitiv products and services. The incumbent of this role will maintain all aspects of the customer relationship, assisting clients in various data and account service via Phone / emails.

Essential Day-to-Day Responsibilities:
Primary role is to work with Equity/Commodity managers, Portfolio Managers, Research Analysts from various firms and Global Banks to assist with navigation, customizing Refinitiv products and also assisting with data search and identifying any data errors, assisting in building portfolios and portfolio analysis/maintenance. This could entail escalating/referring the problem to a ""Content"" support group or the technical support desk.
Expertise to Interpret and analyze the equity market requirements and provide right resolutions and workarounds in specific situations.
Help Customers realize full potential of the application and provide recommendations & solution to maximize application utilization.
Recommend Technical and Fundamental analysis through our highly intuitive charting tools using TR Products.
Recommend solutions to customer application questions with regards to navigation, functionality, content, data quality & entitlements using TR Products.
Interact with various Refinitiv departments(Technical Support, Content, entitlements, feed support, sales, training) to resolve client questions/problems
Closely work with Account Managers, Relationship Managers, Technical Account Managers, Strategic Account Managers and Dedicated Account Managers.
Communicate regularly with Product Managers and sales team regarding Client feedback and internal product enhancements and updates. Participating in the weekly/Bi-weekly Support calls discussing on the client's issues for faster resolution and better client experience.
Ability to speak to our Clients intelligently and use their critical reasoning skills to identify the problem and solution quickly.
Maintain log of problems by creating a ticket in the Refinitiv CRM application. Follow inquiry through to resolution and close the ticket when completely resolved.
Respond to and record customer requests for improvements to our software applications by entering ""enhancement requests"" through the CRM application and following through by interacting with the Product Management team with regards to these requests
Potential to provide professional & courteous training of clients over the telephone via Web-Ex or by walking individual customers through the software.
Preferred Skills:
2+ years experience in relevant industry.
2+ years managing client issues
Ability to manage high pressure client situations and build trust with the clients.
Ability to prioritize multiple simultaneous issues
Ability to communicate well with internal and external technical audiences
General knowledge on Markets (Equities, Portfolio Management)
Excellent interpersonal skills and client management skills
Strong client (internal and external) communication and presentation skills
Self motivated, ""Find a way to get it done"" attitude
Outstanding time management skills and attention to details
Good data analysis skills
Focused on service delivery
Good business writing skills
Good problem solving skills
Analytical, Logical & critical thinking.
Certifications / Education
Graduation in Finance/Commerce
MBA preferred.
Job Type:
Rotational Shift.

We care about benefits too.

We support our colleagues' wellbeing with inclusive benefits. So that's support for physical, financial, mental and environmental health, paid time off to volunteer, consumer discounts & savings and so much more. All of which are tailored to your needs and may vary by location. For more details talk to your recruiter.

Our fast paced and supportive environment is only possible due to determined, autonomous problem solvers who love our high performance culture. And as a global business, Refinitiv relies on diversity of culture and thought to deliver on our goals. So we seek hardworking, qualified employees in all our operations around the world-regardless of race, color, sex/gender, including pregnancy, gender identity and expression, national origin, religion, sexual orientation, disability, age, marital status, citizen status, veteran status, or any other protected classification under country or local law. Refinitiv is proud to be an Equal Employment Opportunity/Affirmative Action Employer providing a drug-free workplace.

Refinitiv makes reasonable accommodations for applicants and employees with disabilities. If an accommodation is needed to participate in the job application or interview process, to perform essential job functions, and/or to receive other benefits and privileges of employment, please contact us to request an accommodation. A full list of our office locations and contact information can be found at: Refinitiv Office Locations .

Be the breakthrough, activate your future and shape ours."
OTBT Infotech Private Limited,https://www.indeed.co.in/rc/clk?jk=7c83dcd865d743fa&fccid=eacff8aa50882683&vjs=3,"Business Analyst, Business Analyst, Product Management","We are looking for experienced and ambitious. Business Analyst to join our Virtual Product team. You will be participating in the creation and designing of new features, from the idea stage to launch.
Responsibilities
Sound knowledge of discovering the needs of a particular product and proficient in the understanding of the design thinking process to build software
Acute understanding of the users who will be using a software
Flexible enough to iterate through multiple cycles of understanding users, discovering requirements, and proposing the release plan
Prior experience of being a core member of the product development team and creating new modules, new products in a product based company will be of a great advantage
Participate in product design activities, wireframes, flowcharting, and mockups that generate user-friendly solutions, and design new features
Understand product backlog and relative priority of features on that backlog
Splitting the concept features into smaller user stories and grooming the team on these features
Responsible for authoring and delivering functional and non-functional specifications
Own product requirement definition and documentation
Define acceptance criteria for the features and verify once they are developed, review test specifications.
Evaluate software developed from the user perspective, ensure a high level of usability and customer acceptance
Focus on trend analysis as it relates to customer experience and the quality of our product/service
Conduct product brainstorm sessions with inter-departmental teams to define product and technology requirements and strategies
Collaborate with R&D teams to find technical solutions

Requirements
B.E/ B.Tech/ MCA/ M.Tech (Computer Science will add advantage)
MBA or Master's degree in related fields
2-4 years experience in a software product development environment preferably cloud development.
Clear and proactive oral & written communication skills
Strong analytical skillset to decipher business needs and recommend solutions
Ability to think creatively and excellent problem-solving skills
Solid understanding of application architectures, databases, APIs, etc"
Procter & Gamble,https://www.indeed.co.in/rc/clk?jk=13dd08ea81af084e&fccid=2da0dedf6df97194&vjs=3,Product Supply Manager,"About Procter & Gamble:
Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral B just to name a few. For more information about P&G the company and our brands please visit www.pg.com and our career website at pgcareers.com.
Are you ready to unleash your technical creativity?
Innovation is the driving effort behind everything we do at P&G. Across the world, you will find thousands of scientists, engineers and developers working in manufacturing plants, innovation centres and distribution facilities.
You'll be in the ideal place to work on groundbreaking improvements related to the manufacturing and processing of our leading products with intelligent, connected technologies driving the 4th industrial revolution. Our aim is to ignite your potential and equip you to enhance the capability, safety and productivity of all our systems while reducing cost and boosting sustainability.

Your Role:
As a Product Supply Manager, you will have the opportunity to discover P&G's technologies & standards which are worldly recognized. We will help you to build your capabilities through the job experience, mentoring and training.

You are likely to be placed in one of the below functions:
Manufacturing - Process E ngineer
Leading team for loss identification and elimination across global measures by developing process & organization capability using manufacturing tools.
Lead standardization, changes on equipment and process validation
Build the capability of process failures technical troubleshooting
Daily direction-setting process - report results, flag issues and request resources.
Reducing overall cost and driving productivity projects by asset utilization and benchmarking
Be the information hub for all the project and product development & Co-ordinate capital projects across all functions & teams
Demonstrate leadership in application of technology to tackle manufacturing problems
Design processes to build best-in-class manufacturing capability
Drive Speed to market of products & innovations
Lead large project management teams from day 1 that Control & optimize Capital & project spending Purchases:
Lead Spend for a specific spend Pool - Logistics, Chemicals, Capital etc that can be for entire globe or region based on sourcing strategy
Own Supplier and Customer Relations Supply Chain - Customer logistics:
Collaborate with multiple customers to implement supply projects crafting value
Represent Supply chain inside the Sales multi-functional teams
Own the Order Management team(s), ensuring right service at right cost
Deliver Cash & Cost optimization projects in collaboration with Sales and other supply chain partners Product Supply Planning:
Planning and executing supply chain strategies for timely production and distribution of products to our consumers, customers and distributor partners
Manage a team of Raw/Packed Material and Finished goods planners leading forecasting & planning for manufacturing operations of a plant / category
Lead Cost savings and Supply Chain re-design projects for your category to improve inventory
Coordination for distribution requirements for finished goods across plants, DC and logistics partners
Reduce Physical distribution cost while improving service levels. What we offer:

A wide range of challenging manufacturing/engineering assignments in one of the most influential companies in the world. We don't just offer a job; we offer a career with varying assignments and lots of development opportunities
An opportunity for you to develop and deliver state of the art technologies supported by multi-million capital investments.
Travel opportunities to the project locations to see your design come to life
Continuous coaching - you will work with passionate people and receive both formal training as well as day-to-day mentoring from your coach and manager
Dynamic and respectful international work environment - employees are at the core, we value every individual and encourage initiatives, promoting agility and work/life balance.
A competitive compensation package , in line with your qualifications and experience What we look for:
Recent Graduate in one of the following engineering majors: Mechanical engineering, Electrical engineering, Industrial engineering, Mechatronics engineering, or any relevant engineering degree; or an MBA degree with 0 - 2years of relevant experience
In addition to good knowledge of English, we also look for skills such as technical curiosity, creativity, innovation, initiative, communication, leadership and the ability to work with others. Just so you know: We are an equal opportunity employer and value diversity at our company. Our mission of Diversity and Inclusion is: ""Everyone valued. Everyone included. Everyone performing at their peak""."
INFISWIFT TECHNOLOGIES,https://www.indeed.co.in/rc/clk?jk=96be36956e49ecd4&fccid=da0e448e9f23dcc3&vjs=3,Product Manager,"Infiswift Technologies is looking for a qualified product manager to lead with manage the development and delivery of several IoT products/solutions for our customers.
Responsibilities
Launch products and product features on a regular basis.
Identify market opportunities and define product vision and strategy.
Understand customer needs and gather product requirements.
Develop new products and enhance existing products.
Engage closely with the engineering team to help determine the best technical implementation methods as well as a reasonable implementation schedule.
Qualifications
Minimum qualifications:
BA/BS in Computer Science, Electrical Engineering, Mathematics, Statistics, or a related technical field, or equivalent practical experience.
2 years of product management or related experience.
Experience with product management or product design with a focus on IoT products and technologies.
Excellent communication abilities to present product vision, roadmap, implementation schedule, etc to customers.
Preferred qualifications:
Master of Science or Business, or PhD.
5 years of relevant work experience.
Experience building IoT analytics-related products.
Knowledge of multiple functional areas such as Product Management, Engineering, UX/UI, Sales, Customer Support, Finance or Marketing; understanding of go-to-market commerce enablers (e.g. payments, loyalty, subscriptions, etc.).
Demonstrated ability to achieve strategic goals in an innovative and fast-paced environment, and to evolve product strategy based on research, data and industry trends; excellent problem-solving, organizational and analytical skills.
How to Apply
We need the candidate to be able to work remotely from Pune, India. Interested candidates should submit a design portfolio to careers@infiswift.tech."
Blackhawk Network,https://www.indeed.co.in/rc/clk?jk=1b27e2e1f773519f&fccid=9cbee42cad63ad9e&vjs=3,Assoc. Product Manager (Technology),"About Blackhawk Network:
At Blackhawk Network, we shape the future of global branded payments through the prepaid products, technologies, and networks that connect brands and people. Our collaborative innovation and scalable, security-minded solutions help our partners to increase reach, loyalty, and revenue. We believe our future holds great things for Blackhawk Network and its partners. We believe that together, we can shape the future. Our beliefs? Win as one team, be innovative, global excellence and be inspiring!

So, what are you waiting for? Shape your career and join our global network.
Overview:
Blackhawk Network is building a digital platform and products that bring people and brands together. We facilitate cross channel payments via cash-in, cash-out and mobile payments. By leveraging blockchain, smart contracts, serverless technology, real time payment systems, we are unlocking the next million users through innovation.

Our employees are our biggest assets! Come find out how we engage, with the biggest brands in the world. We look for people who collaborate, who are inspirational, who have passion that can make a difference by working as a team while striving for global excellence.
As a leader in branded payments, we are building a strong diverse team and expanding in ASIA PACIFIC –we are hiring in Bengaluru, India! This is an amazing opportunity for problem solvers who want to be a part of an innovative and creative Engineering team that values your contribution to the company. If this role has your name written all over it, please contact us apply now with a resume so that we explore further and get connected.

At Blackhawk Network, we’re shaping the future of Global Branded Payments. As an Associate Product Manager, you will support the evolution and implementation of key Payments and Cards Industry capabilities that will transform the Blackhawk Networks client experience and contribute to various Product & Sub product lines. In this role, you will be responsible for collaborating with our Product Management team and leading your scrum team to deliver solutions via Agile methodology. To be successful in this role, you must be a strong team player with exceptional interpersonal and communications skills, who thrives as an independent contributor and guides the Scrum team in a fast-paced and constantly evolving environment.
Responsibilities:
Partner with the Engineering Manager and scrum team to define product requirements to meet the business objectives.
Gather business requirements and communicate those to the broader product management team and your scrum team.
Work with the team to prepare and deliver ready Epics and user stories
Determines the acceptance criteria for the final feature or product.
Responsible for the quality and accuracy of User stories and functional specifications.
Manage, refine, and prioritize the User stories and work with the scrum team to plan for upcoming sprints.
Facilitates sprint planning with the help of the Engineering Manager
Articulates business logics to the scrum team
Understand and communicate the impact of changes to the requirements.
Increase personal, technical skills and industry knowledge.
Look at industry trends and client feedback to brainstorm on features.
Delivers small features with little or no bugs on time
Participates actively in team and partner meetings
Be accountable for scrum team deliverables and KPIs.
Act as a subject matter expert in the area of focus for the scrum team for client questions and issues
Review metrics to measure value and identify opportunities for improvement.
Qualifications:
Required Skills
Bachelor's degree in engineering(CS/IT) and MBA/PGDM from a reputed college or university
Knowledge of SDLC, Product Lifecycle Management
Knowledge of executing in an agile methodology using Scrum.
Meticulous attention to detail and the ability to drive execution by taking ownership.
Thinks and understands user flows, customer needs, and business needs
Is obsessed about consumer-friendly, simple, and clean design
Integrate usability studies, research and market analysis into product requirements to ensure
products satisfy customer needs
Ability to articulate complex concepts in a clear manner
Ability to work across teams (UX, UI, Technology, Marketing, Sales and Operations) through
market requirement, product design and placement
Ability to manage large-scale initiatives and effectively partner with stakeholders across
product and scrum teams
Strong problem-solving skills.
Excellent written and oral communication skills
Good analytical and problem-solving skills
Candidate must have a strong quality focus
Ability to demonstrate a product in front of large groups

Nice to Have

Ability to design simple and intuitive user interfaces through wireframes and mock-ups. Demonstrable knowledge and understanding of designing software solutions.
Testing and validation knowledge is desired Any Recognized certification
Any Internship as a product manager

#GLDR"
Gujarat Cooperative Milk Marketing Federation,https://www.indeed.co.in/rc/clk?jk=cddd1cba4af3de4f&fccid=2ae288fe9bf2fc64&vjs=3,Dy. Manager / Manager (Sales)- Fresh Product Division,"Job Description
The candidate will be responsible for following key deliverables:
Launching and Maximizing sales and market share of Amul in Fresh products category- Milk, Curd, Buttermilk , Paneer etc.
Ensuring availability of Amul Fresh range of products across the State of Andhra Pradesh
Efficient and Cost-effective Logistics Management with the various production centres for Amul products
The major key responsibility areas are:He/She will be responsible for prospecting, qualifying, negotiating and strategizing business development of Fresh products Segment for the State of Andhra Pradesh. His/her success will be measured by the delivery of critical business goals, namely, growth and gain in market share.
The ideal candidate should possess a demonstrated ability to think strategically about Market, customers, categories and channel related challenges, with the ability to build and maintain infrastructure and teams. -
Develop a Distribution system for Fresh products in the various Cities and Towns of the State of Andhra Pradesh. This would consist of appointment of Amul Milk Distributors to cover the various markets & Transporters for Deliveries
Maintain the Logistics and other Distribution related costs under control so as to provide the best returns to our farmers.
Liaison with Government of Andhra Pradesh and other authorities in the State
Market Information to be monitored, shared and acted upon so as to improve our market status
Coordinate with various Brand Managers of our marketing team for product / packing development, product customization, Schemes, Branding Supports etc.
Exhibit leadership qualities and mentor & guide the team members
Fulfil the branding related activities in the State
Required Candidate profile
Candidate should be first class graduate in any discipline and post graduate in management from premier institute having minimum 8 years of relevant work experience of handling Sales in a FMCG Organization

Candidate having knowledge of TELUGU LANGUAGE will be preferred.

Perks and Benefits
Remuneration would commensurate with qualification and experience
Key Skills
Distribution System
Negotiation
Market Share
Prospecting
Business Development
Sales Management
Logistics Management
Desired Candidate Profile
Please refer to the Job description above
Education-
PG:
MBA/PGDM - Marketing
Company Profile
Gujarat Cooperative Milk Marketing Federation Ltd
Gujarat Co-operative Milk Marketing Federation Ltd (GCMMF Ltd)., popularly known as ‘AMUL’, is India’s largest food product marketing organization with an annual turnover of Rs. 38550 Crore.
GCMMF is a unique organization. It's a body created by Farmers, managed by competent professionals, serving a very competitive and challenging consumer market. It is a true testimony of synergistic national development through the practice of modern management methods. To know more about us, please visit: www.amul.com.

Contact Company:
Gujarat Cooperative Milk Marketing Federation Ltd
Website:
http://careers.amul.com"
GO-JEK,https://www.indeed.co.in/rc/clk?jk=12d11406b88ba732&fccid=35c79097c1f63f3d&vjs=3,Product Manager 2 - Chatbots,"About the role:
As a Care Product Manager, you will collaborate with operations, various business and product units, design, product analysts, research and data science teams to help us provide delightful Customer Service experience to all our users (end customers, drivers and merchants) and across geographies. You will be tasked in coming up with innovative UX solutions to address user pain-points which include Chatbots, Help Center, automations, content management systems etc.

What you’ll do:
Contribute crucially to product strategy and OKRs, effectively prioritizing based on company goals
Own and drive product and feature roadmap to fruition, and become an internal champion of your product line
Engage cross-functionally, partnering with engineering, design, data and other teams to ship major features and product improvements
Clearly communicate product plan, customer feedback and roadblocks to team members, cross-functional peers, and stakeholders
Be a customer advocate, articulate their needs and deliver user-friendly solutions that solve their challenges
Define, track and report success metrics for product, business and customer
Reiterate on product plans, and take informed decisions using data and user feedback
Lead effective cadences and incorporate feedbacks into their product plan
Proactively be involved in the interview process and mentor new PMs

What you’ll need:
A Bachelor’s / Masters or an equivalent degree, preferably in engineering or management
At Least 3 years of experience working as a product manager, ideally working on consumer-facing, large-scale products
Self-supporting and proactive, you take ownership, ask for help when you need it, and are always looking to learn something new
You’re entrepreneurial and are comfortable working in a complex and face-paced environment
Analytical and data-driven, you rely on data to recognize what’s happening and define & measure success on every project
You are customer-obsessed
You are able to clearly communicate your thoughts
Experience as a software engineer/developer and working with distributed teams are highly desired

Bonus point:
Relevant Chatbot/NLP experience is a plus"
Newscape Consulting,https://www.indeed.co.in/rc/clk?jk=e9b960f9e1323fb8&fccid=4d3fd0a8023a3768&vjs=3,Product Analyst - Payor,"Product Analyst
As a Product Analyst, you will be responsible for performing software product requirements analysis and specification for the product engineering group that you are assigned to. A successful candidate will have deep business domain knowledge in the healthcare industry, particularly in health insurance payer processes and systems. You will demonstrate an established track record of analyzing, specifying, and managing software product requirements in a software product development organization. You will also possess excellent project management skills, great communication skills, and motivation to achieve results in a fast-paced environment.
Key Responsibilities
Closely work with the Product Management team to understand the product vision, strategic product direction, and product roadmap
Meet with customers and internal stakeholders to understand the business objectives and rationale behind specific customer requests
Clearly document the business value associated with enhancements to help drive prioritization within the backlog
Specify and document software requirements in story format (as in agile methodology) with proper acceptance criteria that meet the business requirements
Resolve questions and provide clarifications raised by the engineering team during the development process
Review test plans to ensure that developed solutions will meet defined requirements
Assist Product Managers with the acceptance and demonstration of new product features
Work with the Product Managers to maintain the product backlog to ensure a sufficient level of backlog items for the engineering team

Requirements
Proven track record of successfully working within product management or other business functions to analyze, define, and document software requirements for commercial software product development
Proven business acumen and in-depth business domain knowledge in healthcare industry
in general, and in health insurance in particular
Excellent analytical skills
More than 5 years of experience in business or system analysis in support of software product or application development. Understanding of best practices in software requirements
Have experience and be comfortable working with high performing engineering teams
Have solid understanding of software engineering concepts and software development life cycle
Have strong ability to effectively communicate business requirements to the engineers
Experience working in an agile/scrum software development environment
Excellent written and verbal communication skills with the ability to present and articulate complex business and software requirements in a clear and concise manner to a variety of audiences

Product Analyst
Excellent organization and project management skills and attention to details
Bachelor’s Degree (MBA preferred)"
